RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,11,24,-170.2,1.3,Y,
2,40,55,-172.1,1.5,Y,
3,77,95,-167.5,1.8,N,Last Run
TotalAvg,,,-169.9333333,1.533333333,,
SelectedAvg,,,-171.15,1.4,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,80.2,9.8,170.2,,,
,82.1,7.9,172.1,,,
,77.5,12.5,167.5,,,
