t,x,y,dance_movement,Predictions
0,193.6,103.8,1,-1
1,192.1,95.6,1,-1
2,191.5,108.9,1,-1
3,189.2,98.2,1,1
4,187.3,101.6,1,1
5,185.1,103.8,1,1
6,183.7,94.7,1,1
7,182.7,105.9,1,1
8,182.1,95.2,1,1
9,180.3,110.7,1,1
10,180.6,98.3,1,1
11,180.6,100.8,1,1
12,180.5,96.1,1,1
13,179.1,102.1,1,1
14,177.8,107.4,1,1
15,175.5,96.1,1,1
16,174.6,108.6,1,1
17,175.0,94.4,1,1
18,174.5,96.5,1,1
19,174.5,97.4,1,1
20,172.4,94.0,1,1
21,168.4,103.2,1,1
22,167.6,92.8,1,1
23,165.5,102.8,1,1
24,162.1,109.8,1,1
25,165.3,93.3,1,1
26,162.4,111.0,1,1
27,163.3,95.1,1,1
28,160.4,109.3,1,1
29,160.5,108.0,1,1
30,159.8,95.5,1,1
31,157.8,109.2,1,1
32,158.4,94.6,1,1
33,153.8,115.3,1,1
34,154.1,98.9,1,1
35,153.4,93.2,1,1
36,149.7,112.7,1,1
37,150.9,94.3,1,1
38,149.8,109.3,1,1
39,151.0,96.4,1,1
40,150.8,94.6,1,1
41,151.1,103.7,1,1
42,150.0,95.6,1,1
43,146.4,111.6,1,1
44,148.5,95.3,1,1
45,144.5,96.5,1,1
46,141.4,107.8,1,1
47,138.3,95.8,1,1
48,132.7,105.6,1,1
49,134.5,96.7,1,1
50,132.5,88.4,1,1
51,126.1,102.3,1,1
52,130.6,90.9,1,1
53,126.9,106.0,1,1
54,127.1,91.9,1,1
55,118.7,106.5,1,1
56,116.9,113.6,1,1
57,122.9,94.1,1,1
58,121.1,101.7,1,1
59,121.4,91.9,1,1
60,117.0,100.2,1,0
61,111.0,102.0,1,0
62,108.9,96.9,1,0
63,104.4,101.2,1,0
64,105.5,96.1,1,0
65,94.9,100.5,0,0
66,90.6,102.3,0,0
67,81.7,103.6,0,0
68,76.4,97.2,0,0
69,77.2,94.1,0,0
70,56.5,93.8,0,0
71,53.9,92.7,0,0
72,50.1,91.2,0,0
73,44.3,88.3,0,0
74,43.8,85.5,0,0
75,42.0,79.8,0,0
76,43.8,74.6,0,0
77,44.4,64.3,0,0
78,45.9,63.2,0,0
79,47.6,60.4,0,0
80,46.7,59.2,0,0
81,49.5,55.0,0,0
82,59.8,47.9,0,0
83,69.1,42.5,0,0
84,75.2,41.3,0,0
85,79.4,38.4,0,0
86,87.9,31.8,0,0
87,97.7,26.6,0,0
88,99.9,26.0,0,0
89,109.7,24.2,0,0
90,118.6,17.3,0,0
91,126.1,16.7,0,0
92,132.8,19.2,0,0
93,135.9,26.1,0,0
94,139.2,29.4,0,0
95,145.5,31.9,0,0
96,156.1,34.7,0,0
97,158.2,37.1,0,0
98,157.0,41.7,0,0
99,159.2,47.9,0,0
100,161.6,54.1,0,0
101,162.5,59.6,0,0
102,165.1,64.5,0,0
103,168.5,64.9,0,0
104,175.7,73.6,0,0
105,178.4,79.8,0,0
106,183.4,85.3,0,0
107,192.9,92.8,0,0
108,203.7,101.0,0,0
109,201.0,102.7,1,0
110,198.3,101.5,1,0
111,190.4,98.5,1,0
112,186.4,100.8,1,0
113,186.5,100.6,1,0
114,183.9,97.7,1,0
115,181.0,99.7,1,0
116,180.5,107.4,1,0
117,175.8,115.8,1,0
118,175.7,104.5,1,0
