t,x,y,dance_movement,Predictions
0,310.0,159.1,1,-1
1,307.0,162.0,1,-1
2,314.0,161.0,1,-1
3,327.0,159.0,1,1
4,324.0,164.0,1,1
5,336.0,150.0,1,1
6,312.0,179.0,1,1
7,356.0,157.0,1,1
8,350.0,167.0,0,1
9,360.0,174.0,0,0
10,365.0,175.0,0,0
11,370.0,180.0,0,0
12,372.0,181.0,0,0
13,377.0,183.0,0,0
14,389.0,210.0,0,0
15,400.0,214.0,0,0
16,400.0,215.0,0,0
17,401.0,222.0,0,0
18,401.0,223.0,0,0
19,404.0,228.0,0,0
20,404.0,230.0,0,0
21,402.0,234.0,0,0
22,409.0,239.0,0,0
23,409.0,242.0,0,0
24,409.0,247.0,0,0
25,398.0,248.0,0,0
26,398.0,253.0,0,0
27,396.0,256.0,0,0
28,390.0,262.0,0,0
29,380.0,263.0,0,0
30,375.0,257.0,0,0
31,359.0,253.0,0,0
32,350.0,249.0,0,0
33,351.0,243.0,0,0
34,344.0,246.0,0,0
35,344.0,247.0,0,0
36,339.0,242.0,0,0
37,335.0,240.0,0,0
38,330.0,236.0,0,0
39,303.0,219.0,0,0
40,292.0,207.0,0,0
41,288.0,204.0,0,0
42,281.0,202.0,0,0
43,278.0,184.0,0,0
44,278.0,180.0,0,0
45,282.0,168.0,0,0
46,287.0,170.0,0,0
47,285.0,163.0,0,0
48,291.0,154.0,0,0
49,294.0,146.0,0,0
50,301.0,137.0,0,0
51,300.0,132.0,0,0
52,293.0,132.0,0,1
53,303.0,116.0,1,1
54,287.0,154.0,1,1
55,309.0,129.0,1,1
56,297.0,156.0,1,1
57,306.0,144.0,1,1
58,297.0,175.0,1,1
59,308.0,158.0,1,1
60,307.0,172.0,1,1
61,314.0,170.0,1,1
62,315.0,182.0,1,1
63,312.0,190.0,1,1
64,322.0,158.0,1,1
65,312.0,178.0,1,1
66,336.0,162.0,1,1
67,308.0,201.0,1,1
68,319.0,171.0,1,1
69,305.0,217.0,1,1
70,327.6,166.4,1,1
71,309.0,193.0,1,1
72,322.0,180.0,1,1
73,312.0,208.0,1,1
74,320.0,190.0,1,0
75,323.0,194.0,1,0
76,330.0,202.0,1,0
77,341.0,215.0,1,0
78,346.0,220.0,1,0
79,346.0,222.0,0,0
80,363.0,229.0,0,0
81,378.0,237.0,0,0
82,390.0,234.0,0,0
83,393.0,235.0,0,0
84,398.0,233.0,0,0
85,403.0,231.0,0,0
86,408.0,225.0,0,0
87,411.0,222.0,0,0
88,404.0,224.0,0,0
89,410.0,218.0,0,0
90,415.0,204.0,0,0
91,416.0,185.0,0,0
92,424.0,179.0,0,0
93,424.0,172.0,0,0
94,428.0,160.0,0,0
95,427.0,152.0,0,0
96,427.0,150.0,0,0
97,427.0,143.0,0,0
98,421.0,135.0,0,0
99,412.0,132.0,0,0
100,403.0,126.0,0,0
101,401.0,120.0,0,0
102,392.0,117.0,0,0
103,380.0,102.0,0,0
104,373.0,98.0,0,0
105,366.0,95.0,0,0
106,363.0,95.0,0,0
107,359.0,97.0,0,0
108,344.0,95.0,0,0
109,335.0,92.0,0,0
110,330.0,91.0,0,0
111,311.0,89.0,0,0
112,306.0,96.0,0,0
113,301.0,101.0,0,0
114,302.0,103.0,0,0
115,318.0,101.0,1,1
116,293.0,127.0,1,1
117,310.0,119.0,1,1
118,302.0,123.0,1,1
119,301.0,135.0,1,1
120,320.0,128.0,1,1
121,286.0,162.0,1,1
122,333.0,124.0,1,1
123,301.0,160.0,1,1
124,330.0,130.0,1,1
125,298.0,156.0,1,1
126,330.0,132.0,1,1
127,308.0,174.0,1,1
128,332.0,141.0,1,1
129,306.0,178.0,1,1
130,327.0,139.0,1,1
131,315.0,186.0,1,1
132,319.0,199.0,1,1
133,337.0,156.0,1,1
134,342.0,159.0,1,1
135,331.0,169.0,1,1
136,357.0,152.0,1,1
137,349.0,158.0,0,1
138,353.0,156.0,0,0
139,365.0,149.0,0,0
140,374.0,146.0,0,0
141,386.0,153.0,0,0
142,388.0,159.0,0,0
143,391.5,159.5,0,0
144,395.0,160.0,0,0
145,398.0,162.0,0,0
146,398.1,162.1,0,0
147,391.0,181.0,0,0
148,392.0,185.0,0,0
149,384.0,190.0,0,0
150,375.0,198.0,0,0
151,364.0,213.0,0,0
152,364.1,213.1,0,0
153,356.0,222.0,0,0
154,352.0,218.0,0,0
155,333.0,223.0,0,0
156,328.0,224.0,0,0
157,326.0,228.0,0,0
158,312.0,230.0,0,0
159,291.0,235.0,0,0
160,286.0,233.0,0,0
161,279.0,235.0,0,0
162,259.0,216.0,0,0
163,253.0,213.0,0,0
164,244.0,195.0,0,0
165,246.0,185.0,0,0
166,244.0,166.0,0,0
167,244.0,162.0,0,0
168,239.0,163.0,0,0
169,240.0,151.0,0,0
170,230.0,152.0,0,0
171,225.0,144.0,0,0
172,221.0,138.0,0,0
173,219.0,126.0,0,0
174,219.0,129.0,0,0
175,218.0,132.0,0,0
176,224.0,124.0,0,0
177,223.0,120.0,0,0
178,222.0,119.0,0,0
179,221.0,120.0,0,0
180,226.0,117.0,0,0
181,247.0,103.0,1,0
182,236.0,115.0,1,0
183,232.0,119.0,1,1
184,237.0,115.0,1,1
