t,x,y,dance_movement,Predictions
0,686.0,836.0,0,-1
1,686.8,837.0,0,-1
2,687.6,837.9,0,-1
3,688.3,838.9,0,0
4,688.7,839.9,0,0
5,688.1,840.9,1,0
6,673.8,843.4,1,1
7,690.7,843.5,1,1
8,658.2,855.4,1,1
9,705.2,851.5,1,1
10,662.8,852.5,1,1
11,705.7,852.3,1,1
12,666.0,856.0,1,1
13,709.0,862.0,1,1
14,673.0,863.0,1,1
15,710.0,860.0,1,1
16,690.0,858.0,1,1
17,694.0,859.0,1,1
18,706.0,859.0,1,1
19,681.0,867.0,1,1
20,706.0,874.0,1,1
21,674.0,877.0,1,1
22,719.0,874.0,1,1
23,682.0,874.0,1,1
24,709.0,885.0,1,1
25,714.0,887.0,1,1
26,676.0,893.0,1,1
27,679.0,885.0,1,1
28,681.0,887.0,0,0
29,678.0,882.0,0,0
30,668.0,887.0,0,0
31,653.0,905.0,0,0
32,656.0,911.0,0,0
33,664.0,911.0,0,0
34,667.0,927.0,0,0
35,689.0,932.0,0,0
36,692.0,923.0,0,0
37,701.0,926.0,0,0
38,696.0,915.0,0,0
39,702.0,913.0,0,0
40,705.0,907.0,0,0
41,711.0,897.0,0,0
42,712.0,885.0,0,0
43,707.0,875.0,0,0
44,721.0,875.0,0,0
45,718.0,853.0,0,0
46,726.0,838.0,0,0
47,714.0,821.0,0,0
48,731.0,818.0,0,0
49,713.0,814.0,0,0
50,734.0,806.0,0,0
51,724.0,808.0,0,0
52,730.0,793.0,0,0
53,736.0,789.0,0,0
54,736.0,786.0,0,0
55,736.0,778.0,0,0
56,731.0,779.0,0,0
57,734.0,764.0,0,0
58,738.0,761.0,0,0
59,737.0,754.0,0,0
60,737.0,733.0,0,0
61,726.0,732.0,0,0
62,716.0,730.0,0,0
63,709.0,730.0,0,0
64,700.0,732.0,0,0
65,690.0,731.0,0,0
66,675.0,730.0,0,0
67,655.0,728.0,0,0
68,665.0,731.0,0,0
69,655.0,748.0,0,0
70,649.0,759.0,0,0
71,668.0,752.0,0,0
72,669.0,746.0,0,1
73,678.0,759.0,1,1
74,659.0,765.0,1,1
75,692.0,758.0,1,1
76,649.0,774.0,1,1
77,692.0,767.0,1,1
78,636.0,795.0,1,1
79,685.0,774.0,1,1
80,669.0,807.0,1,1
81,684.0,786.0,1,1
82,666.0,826.0,1,1
83,692.0,804.0,1,1
84,659.0,822.0,1,1
85,695.0,801.0,1,1
86,655.0,817.0,1,1
87,706.0,810.0,1,1
88,647.0,823.0,1,1
89,698.0,814.0,1,1
90,664.0,830.0,1,1
91,717.0,820.0,1,1
92,665.0,834.0,1,1
93,710.0,823.0,1,1
94,679.0,826.0,1,1
95,707.0,829.0,1,1
96,680.0,829.0,1,1
