t,x,y,dance_movement,Predictions
0,670,229.3,0,-1
1,626,231.3,0,-1
2,600,245.3,0,-1
3,552,259.3,0,0
4,562,318.0,0,0
5,514,286.0,0,0
6,448,306.0,0,0
7,444,294.0,0,0
8,408,314.0,0,0
9,374,362.0,0,0
10,383,374.0,0,0
11,355,420.0,0,0
12,339,448.0,0,0
13,347,488.0,0,0
14,376,490.0,0,0
15,402,528.0,1,0
16,434,456.0,1,0
17,416,456.0,1,0
18,398,456.0,1,1
19,402,462.0,1,1
20,430,536.0,1,1
21,404,430.0,1,1
22,416,456.0,1,1
23,440,482.0,1,1
24,452,554.0,1,1
25,426,500.0,1,1
26,436,492.0,1,1
27,434,442.0,1,1
28,444,468.0,1,1
29,470,434.0,1,1
30,500,486.0,1,1
31,500,422.0,1,1
32,540,496.0,1,1
33,536,386.0,1,1
34,562,464.0,1,1
35,574,376.0,1,1
36,594,452.0,1,1
37,624,366.0,1,0
38,624,352.0,1,0
39,628,314.0,0,0
40,654,274.0,0,0
41,664,262.0,0,0
42,698,250.0,0,0
43,736,250.0,0,0
44,770,258.0,0,0
45,810,308.0,0,0
46,816,322.0,0,0
47,820,334.0,0,0
48,810,342.0,0,0
49,796,346.0,0,0
50,794,356.0,0,0
51,776,372.0,0,0
52,774,392.0,0,0
53,752,404.0,0,0
54,744,434.0,0,0
55,716,466.0,0,0
56,694,478.0,0,0
57,666,476.0,0,0
58,630,474.0,0,0
59,600,462.0,0,0
60,538,490.0,0,0
61,512,490.0,0,0
62,486,492.0,0,0
63,482,482.0,0,0
64,476,476.0,0,0
65,478,454.0,0,0
66,464,420.0,1,0
67,456,390.0,1,0
68,494,398.0,1,0
69,464,376.0,1,1
70,484,386.0,1,1
71,516,400.0,1,1
72,462,382.0,1,1
73,512,384.0,1,1
74,458,372.0,1,1
75,492,378.0,1,1
76,472,366.0,1,1
77,530,372.0,1,1
78,502,328.0,1,1
79,580,370.0,1,1
80,494,340.0,1,1
81,584,358.0,1,1
82,530,306.0,1,1
83,608,336.0,1,1
84,540,284.0,1,1
85,632,314.0,1,1
86,580,278.0,1,1
87,676,294.0,1,1
88,662,276.0,1,1
89,712,254.0,0,0
90,730,240.0,0,0
91,740,216.0,0,0
92,738,198.0,0,0
93,772,132.0,0,0
94,744,112.0,0,0
95,730,98.0,0,0
96,708,86.0,0,0
97,698,84.0,0,0
98,678,82.0,0,0
99,664,80.0,0,0
100,664,62.0,0,0
101,642,56.0,0,0
102,619,56.0,0,0
103,593,44.0,0,0
104,588,42.0,0,0
105,574,54.0,0,0
106,560,74.0,0,0
107,548,74.0,0,0
108,558,82.0,0,0
109,550,90.0,0,0
110,522,106.0,0,0
111,504,126.0,0,0
112,512,152.0,0,0
113,486,188.0,0,0
114,510,226.0,0,0
115,506,244.0,0,0
116,506,272.0,0,0
117,504,296.0,0,0
118,518,332.0,0,0
119,536,338.0,0,0
120,554,372.0,0,1
121,524,386.0,1,1
122,626,276.0,1,1
123,572,382.0,1,1
124,594,262.0,1,1
125,604,360.0,1,1
126,618,284.0,1,1
127,606,372.0,1,1
128,612,282.0,1,1
129,610,342.0,1,1
130,638,266.0,1,1
131,644,300.0,1,1
132,642,270.0,1,1
133,660,336.0,1,1
134,654,236.0,1,1
135,662,220.0,0,0
136,682,204.0,0,0
137,674,190.0,0,0
138,698,200.0,0,0
139,710,200.0,0,0
140,730,212.0,0,0
141,738,222.0,0,0
142,748,236.0,0,0
143,746,266.0,0,0
144,750,294.0,0,0
145,750,332.0,0,0
146,750,344.0,0,0
147,748,344.0,0,0
148,750,362.0,0,0
149,750,378.0,0,0
150,752,396.0,0,0
151,738,462.0,0,0
152,722,492.0,0,0
153,672,552.0,0,0
154,648,558.0,0,0
155,636,564.0,0,-1
156,596,556.0,0,-1
157,550,548.0,0,-1
