t,x,y,dance_movement,Predictions
0,1066.3,328.3,0,-1
1,1065.0,318.7,0,-1
2,1067.5,312.6,0,-1
3,1074.8,307.8,0,0
4,1085.7,317.5,0,0
5,1086.9,312.6,0,1
6,1085.7,318.7,0,1
7,1073.5,307.8,1,1
8,1089.1,284.7,1,1
9,1045.4,312.6,1,1
10,1080.6,290.8,1,1
11,1090.3,283.5,1,1
12,1060.0,299.3,1,1
13,1089.1,265.3,1,1
14,1052.7,302.9,1,1
15,1086.7,277.4,1,1
16,1047.8,292.0,1,1
17,1081.8,267.7,1,1
18,1052.7,288.4,1,1
19,1068.5,276.2,1,1
20,1049.0,282.3,1,1
21,1055.1,271.4,1,1
22,1072.1,255.6,1,1
23,1026.0,288.4,1,1
24,1056.3,258.0,1,1
25,1019.9,272.6,1,1
26,1078.2,234.9,1,1
27,1024.8,276.2,1,1
28,1060.0,236.2,1,1
29,1017.5,251.9,1,1
30,1045.4,241.0,1,1
31,1058.8,247.1,1,1
32,1015.0,248.3,1,1
33,1066.0,224.0,1,1
34,1011.4,247.1,1,1
35,1052.7,221.6,1,1
36,995.6,236.2,1,1
37,1051.5,205.8,1,1
38,981.0,230.1,1,1
39,1028.4,219.2,1,1
40,967.7,211.9,1,1
41,1000.5,207.0,1,1
42,960.2,194.9,1,1
43,975.5,192.9,0,1
44,955.5,185.7,0,0
45,953.3,174.6,0,0
46,958.7,155.2,0,0
47,952.1,149.1,0,0
48,956.4,143.2,0,0
49,955.8,133.9,0,0
50,954.2,129.9,0,0
51,957.2,116.6,0,0
52,955.5,100.8,0,0
53,960.5,83.5,0,0
54,957.9,80.2,0,0
55,958.5,79.9,0,0
56,957.2,95.1,0,0
57,951.5,94.1,0,0
58,963.5,96.7,0,0
59,969.8,94.5,0,0
60,973.0,101.4,0,0
61,981.5,103.7,0,0
62,985.2,110.4,0,0
63,994.0,115.2,0,0
64,995.9,115.6,0,0
65,1017.8,124.1,0,0
66,1030.7,139.5,0,0
67,1047.8,156.0,0,0
68,1041.8,166.9,0,0
69,1039.3,168.2,0,0
70,1038.1,168.2,0,0
71,1040.5,191.2,0,0
72,1038.1,194.9,0,0
73,1041.8,215.5,0,0
74,1039.3,214.3,0,0
75,1044.2,227.7,0,0
76,1034.5,261.7,0,0
77,1036.9,266.5,0,0
78,1018.7,290.8,0,0
79,1000.5,301.7,0,0
80,985.9,311.4,0,0
81,985.9,319.9,0,0
82,967.7,338.1,0,0
83,956.7,333.3,0,1
84,948.2,334.5,1,1
85,996.8,283.5,1,1
86,928.8,323.6,1,1
87,955.5,317.5,1,1
88,921.5,329.6,1,1
89,945.8,300.5,1,1
90,927.6,311.4,1,1
91,927.6,300.5,1,1
92,924.0,298.1,1,1
93,902.1,298.1,1,1
94,924.0,268.9,1,1
95,888.7,298.1,1,1
96,931.2,262.9,1,1
97,876.6,302.9,1,1
98,943.4,262.9,1,1
99,875.4,289.6,1,1
100,928.8,256.8,1,1
101,886.3,277.4,1,1
102,896.0,271.4,1,1
103,915.5,249.5,1,1
104,876.6,259.2,1,1
105,925.2,236.2,1,1
106,873.0,254.4,1,1
107,924.0,226.4,1,1
108,853.5,250.7,1,1
109,922.7,210.7,1,1
110,858.4,237.4,1,1
111,920.3,204.6,1,1
112,874.2,225.2,1,1
113,913.0,197.3,1,1
114,875.4,236.2,1,1
115,914.2,205.8,1,1
116,914.2,202.2,0,0
117,921.5,182.7,0,0
118,916.7,179.1,0,0
119,919.1,166.9,0,0
120,919.1,158.4,0,0
121,909.4,148.7,0,0
122,902.1,145.1,0,0
123,899.7,126.9,0,0
124,896.0,124.5,0,0
125,882.7,123.2,0,0
126,856.0,134.2,0,0
127,848.7,137.8,0,0
