t,x,y,dance_movement,Predictions
0,844,640,1,-1
1,872,628,1,-1
2,898,636,1,-1
3,850,608,1,1
4,906,640,1,1
5,866,574,1,1
6,910,606,1,1
7,890,540,1,1
8,952,574,1,1
9,890,534,1,1
10,962,594,1,1
11,908,550,1,1
12,968,594,1,1
13,898,548,1,1
14,956,588,1,1
15,906,546,1,1
16,956,578,1,1
17,926,552,1,1
18,974,580,1,1
19,922,546,1,1
20,968,562,1,1
21,920,518,1,1
22,962,556,1,1
23,918,516,1,1
24,994,538,1,1
25,926,490,1,1
26,988,518,1,1
27,938,478,1,1
28,994,506,1,1
29,956,474,1,1
30,1014,518,1,1
31,958,480,1,1
32,1012,510,1,1
33,958,462,1,1
34,1012,498,1,1
35,974,438,1,1
36,1016,488,1,1
37,968,436,1,1
38,996,446,0,1
39,980,416,0,0
40,980,402,0,0
41,982,374,0,0
42,984,366,0,0
43,998,322,0,0
44,1002,330,0,0
45,1012,322,0,0
46,994,350,0,0
47,996,346,0,0
48,998,354,0,0
49,1026,358,0,0
50,1018,368,0,0
51,1022,386,0,0
52,1028,388,0,0
53,1040,404,0,0
54,1038,412,0,0
55,1038,420,0,0
56,1044,426,0,0
57,1064,444,0,0
58,1054,456,0,0
59,1060,488,0,0
60,1044,498,0,0
61,1028,526,0,0
62,1010,520,0,0
63,1014,538,0,0
64,990,528,0,0
65,996,554,0,0
66,984,548,0,0
67,968,556,0,0
68,950,562,0,0
69,918,564,0,0
70,928,576,0,0
71,904,602,0,0
72,918,622,0,0
73,912,646,0,0
74,910,670,0,0
75,914,692,0,0
76,910,696,0,0
77,872,728,0,0
78,856,712,0,0
79,842,734,0,0
80,834,738,0,0
81,812,740,0,0
82,808,740,0,0
83,796,740,0,0
84,780,734,0,0
85,780,730,0,0
86,776,722,0,0
87,766,722,0,0
88,750,706,0,0
89,744,694,0,0
90,736,690,0,0
91,734,688,0,0
92,736,674,0,0
93,728,658,1,0
94,726,608,1,1
95,750,646,1,1
96,742,612,1,1
97,770,668,1,1
98,768,626,1,1
99,802,672,1,1
100,788,602,1,1
101,828,670,1,1
102,812,632,1,1
103,824,652,1,1
104,844,680,1,1
105,826,648,1,1
106,844,676,1,1
107,844,634,1,1
108,868,680,1,1
109,844,618,1,1
110,880,684,1,1
111,858,608,1,1
112,898,670,1,1
113,858,612,1,1
114,902,660,1,1
115,854,582,1,1
116,918,658,1,1
117,876,596,1,1
118,896,640,1,1
119,872,572,1,1
120,920,650,1,1
121,908,596,1,1
122,914,616,1,1
123,914,608,1,1
124,928,618,1,1
125,942,640,1,1
126,916,586,1,1
127,944,610,1,1
128,926,584,1,1
129,930,590,1,1
130,922,572,1,1
131,946,590,1,1
132,956,588,1,1
133,952,558,1,1
134,976,604,1,1
135,946,544,1,1
136,992,606,1,1
137,956,536,1,1
138,986,560,1,1
139,1020,616,1,1
140,968,522,1,1
141,1030,604,1,1
142,968,518,1,1
143,1020,602,1,1
144,978,524,1,1
145,1048,602,1,1
146,992,500,1,1
147,1034,572,1,1
148,994,496,1,1
149,1058,592,1,1
150,1024,514,1,1
151,1056,568,1,1
152,1034,528,1,1
153,1088,592,1,1
154,1034,512,1,1
155,1076,548,1,1
156,1102,558,1,1
157,1094,552,0,0
158,1114,554,0,0
159,1116,550,0,0
160,1134,536,0,0
161,1152,520,0,0
162,1146,502,0,0
163,1152,492,0,0
164,1152,472,0,0
165,1146,466,0,0
166,1148,460,0,0
167,1142,442,0,0
168,1116,438,0,0
169,1114,418,0,0
170,1110,402,0,0
171,1096,376,0,0
172,1078,368,0,0
173,1074,374,0,0
174,1056,380,0,0
175,1040,366,0,0
176,1034,378,0,0
177,1018,402,0,0
178,998,390,0,0
179,984,386,0,0
180,970,380,0,0
181,958,408,0,0
182,936,378,0,0
183,926,384,0,0
184,910,384,0,0
185,904,388,0,0
186,884,388,0,0
187,866,360,0,0
188,862,376,0,0
189,844,342,0,0
190,822,330,0,0
191,820,340,0,0
192,806,338,0,0
193,774,330,0,0
194,778,338,0,0
195,776,336,0,0
196,768,332,0,0
197,756,348,0,0
198,758,366,0,0
199,762,374,0,0
200,762,394,0,0
201,764,404,0,0
202,760,410,0,0
203,756,414,0,0
204,778,430,0,0
205,782,442,0,0
206,770,464,0,0
207,768,468,0,0
208,750,474,0,0
209,752,486,0,0
210,754,492,0,0
211,752,502,0,0
212,762,522,0,0
213,766,524,0,0
214,780,536,0,0
215,780,554,0,0
216,794,572,0,0
217,792,574,0,0
218,810,566,0,0
219,820,566,1,1
220,816,524,1,1
221,850,576,1,1
222,842,520,1,1
223,876,558,1,1
224,852,502,1,1
225,898,560,1,1
226,876,472,1,1
227,888,526,1,1
228,882,512,1,-1
229,882,508,1,-1
230,882,504,1,-1
