RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,10,29,-84.6,0.833333333,Y,
2,63,81,-25.5,0.791666667,Y,
3,113,128,-69,0.666666667,Y,
4,162,184,-58.6,0.958333333,Y,
5,224,239,-83.5,0.666666667,Y,
6,272,291,-22.8,0.833333333,Y,
TotalAvg,,,-57.33333333,0.791666667,,
SelectedAvg,,,-57.33333333,0.791666667,,
