RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,0,28,-99,0.966666667,Y,
2,85,120,-99,1.2,Y,
3,166,206,-96.3,1.366666667,Y,
4,254,291,-93.4,1.266666667,Y,
5,335,379,-100,1.5,Y,
6,429,468,-96,1.333333333,Y,
TotalAvg,,,-97.28333333,1.272222222,,
SelectedAvg,,,-97.28333333,1.272222222,,
