RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,0,7,,0.266666667,N,Not Enough
2,53,78,123.6,0.866666667,Y,
3,115,136,135.5,0.733333333,Y,
4,181,205,129.6,0.833333333,Y,
5,246,278,158.8,1.1,Y,
6,342,367,135.1,0.866666667,Y,
7,427,453,143.7,0.9,Y,
TotalAvg,,,137.7166667,0.795238095,,
SelectedAvg,,,137.7166667,0.883333333,,
