RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,12,53,38.4,1.4,Y,
2,106,150,34.8,1.5,Y,
3,193,229,36.3,1.233333333,Y,
4,286,324,38.4,1.3,Y,
5,372,412,34.3,1.366666667,Y,
6,468,500,43.7,1.1,Y,
7,554,595,38,1.4,Y,
8,650,685,31,1.2,Y,
TotalAvg,,,36.8625,1.3125,,
SelectedAvg,,,36.8625,1.3125,,
