RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,0,8,-99.4,0.375,Y,
2,40,58,-96.3,0.791666667,Y,
3,92,114,-104.1,0.958333333,Y,
4,144,165,-92,0.916666667,Y,
5,200,216,-92,0.708333333,Y,
6,240,265,-98.7,1.083333333,Y,
7,299,310,-96.2,0.5,Y,
8,355,369,-95.5,0.625,Y,
9,399,418,-93.3,0.833333333,Y,
10,445,467,-90,0.958333333,Y,
TotalAvg,,,-95.75,0.775,,
SelectedAvg,,,-95.75,0.775,,
