LocID,MeanConsecDistance,MeanConsecVertAngle,Interaction,MovementClass
03_01_01_0003,0.06634530871922233,0.5692349020481556,0.037766065310141164,1
03_01_01_0004,0.057542977258559,0.4754916567616599,0.027361205591670736,1
03_01_01_0005,0.04778839283195558,0.5194386433019726,0.02482313793821272,1
03_01_01_0006,0.03953717620367,0.409422156202011,0.01618739593144541,1
03_01_01_0007,0.037375237150079,0.27022723550479766,0.010099807011402062,1
03_01_01_0008,0.0661938847302793,0.24057232565986336,0.015924416794024208,1
03_01_01_0009,0.0836720923853294,0.39466324816719756,0.03302229976173994,1
03_01_01_0010,0.08483683603677797,0.37577888215767613,0.03187989141169448,1
03_01_01_0011,0.08865917168409507,0.3548449738851374,0.03146026146092063,1
03_01_01_0012,0.1115650835605542,0.42899728719361274,0.04786111819300647,1
03_01_01_0013,0.136117872841411,0.5518634094972342,0.07511847339977205,1
03_01_01_0014,0.10547139542842245,0.534917440938387,0.05641848893477242,1
03_01_01_0015,0.08912987117857749,0.5207748435390749,0.04641659471768159,1
03_01_01_0016,0.11538179889299463,0.5332777701103258,0.06153054842497424,1
03_01_01_0017,0.13919803322800595,0.5709829069823171,0.079479697658748,1
03_01_01_0018,0.11270712458641541,0.5385511703577874,0.06069855385367498,1
03_01_01_0019,0.12239849095878425,0.3771824280911315,0.04616656001452465,1
03_01_01_0020,0.1305018128278694,0.5184946912826919,0.06766449715401779,1
03_01_01_0021,0.12810732254701157,0.5941882537895232,0.07611986628186002,1
03_01_01_0022,0.11590076223034791,0.4554086896472327,0.05278221425643822,1
03_01_01_0023,0.11045540249025229,0.3381733039820673,0.03735306840279768,1
03_01_01_0024,0.14149670247679996,0.36543410984129254,0.05170772151508761,1
03_01_01_0025,0.14262259850949782,0.1778679122896188,0.025367983842204875,1
03_01_01_0026,0.14567954306216815,0.08447237721761465,0.012305897314437205,0
03_01_01_0027,0.16475587271093187,0.11827753408548566,0.01948691835035118,0
03_01_01_0028,0.181227623459259,0.131643042004503,0.023857355647423483,0
03_01_01_0029,0.16064925169379904,0.10650595587605835,0.017110102112421553,0
03_01_01_0030,0.15769081912575084,0.14816242326807835,0.023363853888799482,0
03_01_01_0031,0.1608492822818784,0.15094895901006367,0.02428003171796542,0
03_01_01_0032,0.1946642835251722,0.12074216233929572,0.02350418652305903,0
03_01_01_0033,0.2078330903987752,0.07363436641135562,0.015303657930827809,0
03_01_01_0034,0.20242795709268216,0.10770046272268666,0.02180158464689003,0
03_01_01_0035,0.22995764705503907,0.10711131362876974,0.02463106565504623,0
03_01_01_0036,0.22561236778001942,0.09560187936886064,0.021568966368628435,0
03_01_01_0037,0.20864546411399654,0.12215783692285935,0.02548767857993189,0
03_01_01_0038,0.1828926216476599,0.11719572972338405,0.02143423425502029,0
03_01_01_0039,0.18219432774880598,0.10589452296288779,0.019293381423503838,0
03_01_01_0040,0.219243847046918,0.07440575862325373,0.01631300476300654,0
03_01_01_0041,0.19437937540068156,0.2190563631398203,0.042580039044663155,0
03_01_01_0042,0.18805547960207408,0.19621918676496708,0.03690009327421483,0
03_01_01_0043,0.17275525230394895,0.20332386149721357,0.0351252649923643,0
03_01_01_0044,0.16517413991866334,0.23807938573579857,0.039324557771274214,1
03_01_01_0045,0.13069291826275145,0.39048282092089626,0.051033339397623306,1
03_01_01_0046,0.07282411007804539,0.31106489252960506,0.022653023974991318,1
03_01_01_0047,0.07778523132426293,0.3944667312443302,0.03068368593956608,1
03_01_01_0048,0.07620782861548321,0.47216208109955843,0.03598244695516503,1
03_01_01_0049,0.07745392632850476,0.565122077085342,0.04377092372517967,1
03_01_01_0050,0.08901656655935553,0.5926724537914312,0.0527576669308215,1
03_01_01_0051,0.10706236542237911,0.6848623458305726,0.07332298273334054,1
03_01_01_0052,0.10630745202017668,0.6451003606297244,0.0685789756358431,1
03_01_01_0053,0.09431725862169557,0.6535327561798966,0.06163941798236882,1
03_01_01_0054,0.09505626507801891,0.6874488425081423,0.06534631940103125,1
03_01_01_0055,0.10880117082579926,0.6726567290315356,0.07318583968248348,1
03_01_01_0056,0.09399578137734059,0.5498904469784504,0.05168738223567452,1
