t,x,y,dance_movement,Predictions
1,1460,701,0,-1
3,1453,721,0,-1
6,1452,779,0,-1
8,1455,814,0,0
11,1454,821,0,0
13,1435,827,0,0
15,1425,822,0,0
18,1374,802,0,0
20,1361,788,1,0
23,1382,781,1,0
25,1419,774,1,0
27,1395,759,1,0
30,1372,731,1,0
32,1389,736,1,0
35,1444,722,1,0
37,1467,700,1,0
39,1456,702,0,0
42,1455,690,0,0
44,1449,671,0,0
47,1447,646,0,0
49,1443,596,0,0
51,1412,587,0,0
54,1378,612,0,0
56,1333,601,0,0
59,1295,601,0,0
61,1273,603,0,0
63,1255,632,0,0
66,1231,658,0,0
68,1219,697,0,0
71,1231,785,1,1
73,1248,769,1,1
75,1251,774,1,1
78,1264,757,1,1
80,1269,741,1,1
83,1310,758,1,0
85,1317,766,1,0
87,1316,744,1,0
90,1342,675,0,0
92,1352,650,0,0
95,1392,653,0,0
97,1426,650,0,0
99,1441,666,0,0
102,1473,687,0,0
104,1498,721,0,0
107,1472,744,0,0
109,1474,778,0,0
111,1452,777,0,0
114,1422,826,0,0
116,1385,817,0,0
119,1332,812,0,0
121,1310,816,1,0
123,1325,794,1,1
126,1356,785,1,1
128,1286,732,1,1
131,1343,767,1,1
133,1349,751,1,1
135,1376,739,1,0
138,1402,748,0,0
140,1419,738,0,0
143,1442,714,0,0
145,1450,697,0,0
147,1458,668,0,0
150,1429,623,0,0
152,1423,625,0,0
155,1396,618,0,0
157,1368,619,0,0
159,1363,629,0,0
162,1282,655,0,0
164,1278,666,0,0
167,1252,742,0,0
169,1262,787,0,1
171,1250,789,0,1
174,1278,781,1,1
176,1262,747,1,1
179,1299,786,1,1
181,1302,773,1,0
183,1305,752,1,0
186,1309,721,1,0
188,1306,708,1,0
191,1328,705,1,0
193,1320,676,0,0
195,1311,658,0,0
198,1324,642,0,0
200,1341,625,0,0
203,1355,639,0,0
205,1353,654,0,0
207,1360,672,0,0
210,1437,737,0,0
212,1427,756,0,0
215,1421,798,0,0
217,1422,848,0,0
219,1433,856,0,0
222,1412,866,0,1
224,1401,863,0,1
227,1353,844,0,1
229,1378,837,0,1
231,1352,820,0,1
234,1392,819,1,1
236,1371,802,1,1
239,1329,750,1,1
241,1339,754,1,1
243,1362,727,1,1
246,1434,726,1,1
248,1439,737,0,0
251,1445,737,0,0
253,1427,714,0,0
255,1428,677,0,0
258,1418,637,0,0
260,1394,626,0,0
263,1359,631,0,0
265,1321,634,0,0
267,1309,634,0,0
270,1247,646,0,0
272,1229,659,0,0
275,1202,687,0,0
277,1194,721,0,0
279,1195,753,0,0
282,1216,800,1,0
284,1232,811,1,0
287,1227,748,1,-1
289,1245,733,1,-1
291,1249,735,1,-1
