t,x,y,dance_movement,Predictions
1,872,628,1,-1
3,850,608,1,-1
6,910,606,1,-1
8,952,574,1,1
11,908,550,1,1
13,898,548,1,1
15,906,546,1,1
18,974,580,1,1
20,968,562,1,0
23,918,516,1,0
25,926,490,1,0
27,938,478,1,0
30,1014,518,1,0
32,1012,510,1,0
35,974,438,1,0
37,968,436,1,0
39,980,416,0,1
42,984,366,0,1
44,1002,330,0,1
47,996,346,0,1
49,1026,358,0,1
51,1022,386,0,0
54,1038,412,0,0
56,1044,426,0,0
59,1060,488,0,0
61,1028,526,0,0
63,1014,538,0,0
66,984,548,0,0
68,950,562,0,0
71,904,602,0,0
73,912,646,0,0
75,914,692,0,0
78,856,712,0,0
80,834,738,0,0
83,796,740,0,0
85,780,730,0,0
87,766,722,0,0
90,736,690,0,0
92,736,674,0,0
95,750,646,1,0
97,770,668,1,1
99,802,672,1,1
102,812,632,1,1
104,844,680,1,1
107,844,634,1,1
109,844,618,1,1
111,858,608,1,1
114,902,660,1,1
116,918,658,1,1
119,872,572,1,1
121,908,596,1,1
123,914,608,1,1
126,916,586,1,1
128,926,584,1,1
131,946,590,1,1
133,952,558,1,1
135,946,544,1,1
138,986,560,1,1
140,968,522,1,1
143,1020,602,1,1
145,1048,602,1,1
147,1034,572,1,1
150,1024,514,1,0
152,1034,528,1,0
155,1076,548,1,0
157,1094,552,0,0
159,1116,550,0,0
162,1146,502,0,0
164,1152,472,0,0
167,1142,442,0,0
169,1114,418,0,0
171,1096,376,0,0
174,1056,380,0,0
176,1034,378,0,0
179,984,386,0,0
181,958,408,0,0
183,926,384,0,0
186,884,388,0,0
188,862,376,0,0
191,820,340,0,0
193,774,330,0,0
195,776,336,0,0
198,758,366,0,0
200,762,394,0,0
203,756,414,0,0
205,782,442,0,0
207,768,468,0,0
210,754,492,0,0
212,762,522,0,0
215,780,554,0,0
217,792,574,0,0
219,820,566,1,0
222,842,520,1,1
224,852,502,1,-1
227,888,526,1,-1
229,882,508,1,-1
