t,x,y,dance_movement,Predictions
0,557.0,562.3,0,-1
2,558.0,545.0,0,-1
5,581.0,573.0,0,-1
7,580.0,592.3,0,0
10,578.0,640.0,1,0
12,554.0,660.6,1,1
14,535.7,692.6,1,1
17,537.0,598.0,1,1
19,536.0,629.0,1,1
22,497.0,680.0,1,1
24,495.0,660.0,1,1
26,477.0,650.0,1,1
29,440.0,593.0,1,1
31,443.0,602.0,0,1
34,443.0,594.0,0,1
36,422.0,609.0,0,1
38,402.0,615.0,0,0
41,351.0,641.0,0,0
43,350.0,661.0,0,0
46,388.0,689.0,0,0
48,386.0,744.0,0,0
50,398.0,771.0,0,0
53,410.0,800.0,0,0
55,433.0,818.0,0,0
58,477.0,835.0,0,0
60,515.0,834.0,0,0
62,560.0,822.0,0,0
65,573.0,794.0,1,0
67,572.0,783.0,1,0
70,542.0,770.0,1,0
72,526.0,763.0,1,0
74,516.0,762.0,1,0
77,542.0,734.0,1,0
79,528.0,729.0,1,0
82,451.0,721.0,0,0
84,430.0,715.0,0,0
86,445.0,703.0,0,0
89,412.0,662.0,0,0
91,421.0,646.0,0,0
94,438.0,587.0,0,0
96,463.0,559.0,0,0
98,485.0,551.0,0,0
101,523.0,570.0,0,0
103,526.0,590.0,0,0
106,581.0,596.0,0,0
108,588.0,628.0,0,0
110,592.0,638.0,0,0
113,606.0,710.6,1,0
115,590.0,692.6,1,0
118,570.0,676.6,1,0
120,516.7,757.3,1,0
122,530.0,717.3,1,0
125,518.7,701.3,1,0
127,513.3,682.0,1,0
130,498.7,637.3,0,0
132,502.0,624.6,0,0
134,491.3,616.0,0,0
137,448.0,614.0,0,0
139,412.7,604.0,0,0
142,378.0,634.0,0,0
144,374.7,642.0,0,0
146,383.3,665.3,0,0
149,388.7,696.6,0,0
151,403.3,704.6,0,0
154,446.0,776.0,0,0
156,469.3,778.6,0,0
158,506.0,790.6,0,0
161,583.3,782.0,0,0
163,586.0,775.3,1,1
166,564.7,756.0,1,1
168,530.0,772.0,1,1
170,544.7,770.0,1,1
173,555.3,727.3,1,1
175,541.3,741.3,1,1
178,510.0,748.6,1,1
180,489.3,742.6,1,1
182,456.0,748.0,1,1
185,460.0,731.3,0,1
187,444.0,747.3,0,1
190,428.7,743.3,0,1
192,410.0,726.6,0,0
194,419.3,722.0,0,0
197,424.7,714.6,0,0
199,451.3,702.6,0,0
202,491.3,602.6,0,0
204,518.0,605.3,0,0
206,534.0,607.3,0,0
209,600.0,582.0,0,0
211,600.7,572.6,0,0
214,620.0,587.3,0,0
216,609.3,607.3,0,0
218,612.0,640.0,0,0
221,599.3,644.6,0,1
223,592.0,656.1,0,1
226,576.0,626.6,1,1
228,565.3,653.3,1,1
230,554.0,653.3,1,1
233,524.7,701.3,1,1
235,510.7,700.0,1,1
238,493.3,597.3,1,1
240,492.7,611.3,0,1
242,478.0,601.3,0,1
245,473.3,616.6,0,1
247,434.0,629.3,0,0
250,392.0,646.0,0,0
252,394.0,672.0,0,0
254,414.7,681.3,0,0
257,431.3,748.0,0,0
259,433.3,763.3,0,0
262,450.0,810.0,0,0
264,477.3,824.0,0,0
266,502.0,840.0,0,0
269,550.7,846.0,0,0
271,586.7,828.6,0,0
274,612.0,797.3,1,0
276,620.0,786.0,1,0
278,609.3,778.6,1,0
281,541.3,789.3,1,0
283,538.7,781.3,1,0
286,594.7,739.3,1,0
288,576.0,730.0,1,-1
290,560.0,726.0,1,-1
293,510.0,697.3,0,-1
