t,x,y,dance_movement,Predictions
1,505.7,487.6,0,-1
4,446.9,485.1,0,-1
7,433.4,469.2,0,-1
10,386.8,455.7,0,1
13,421.1,461.8,1,1
16,444.4,445.9,1,1
19,384.4,407.8,1,1
22,401.5,405.4,1,1
25,457.9,406.6,1,1
28,412.0,381.5,1,1
31,400.3,404.2,1,1
34,455.9,415.4,1,1
37,400.0,385.3,1,1
40,401.2,382.9,1,1
43,442.1,379.9,1,1
46,453.2,372.6,1,1
49,492.4,400.8,1,1
52,478.9,370.1,1,1
55,556.1,397.1,0,1
58,601.5,392.2,0,0
61,624.8,356.6,0,0
64,632.2,328.4,0,0
67,646.9,317.4,0,0
70,610.1,312.5,0,0
73,577.0,288.0,0,0
76,527.9,269.6,0,0
79,491.2,284.3,0,0
82,456.8,326.0,0,0
85,432.3,343.1,0,0
88,437.2,379.9,0,0
91,394.3,413.1,0,0
94,374.7,443.7,0,0
97,373.5,483.0,0,0
100,378.4,502.6,0,0
103,406.6,538.2,0,0
106,423.7,557.8,1,0
109,487.5,588.5,1,1
112,442.1,545.5,1,1
115,442.6,553.2,1,1
118,490.4,569.1,1,1
121,438.9,527.4,1,1
124,468.4,539.7,1,1
127,475.7,521.3,1,1
130,440.2,493.1,1,1
133,522.3,509.0,1,1
136,462.2,446.5,1,1
139,478.2,430.5,1,1
142,510.0,474.7,1,1
145,475.7,396.2,1,1
148,505.1,363.1,1,1
151,512.5,365.5,0,0
154,551.7,332.4,0,0
157,582.4,338.5,0,0
160,604.4,353.3,0,0
163,620.4,382.7,0,0
166,628.0,371.8,0,0
169,618.0,419.8,0,0
172,602.0,442.8,0,0
175,559.0,503.8,0,0
178,569.0,525.8,0,0
181,551.0,562.8,0,0
184,538.0,582.8,0,0
187,529.0,601.8,0,0
190,490.0,610.8,0,0
193,407.0,605.8,1,0
196,367.0,593.8,1,0
199,344.0,567.8,1,0
202,389.0,583.8,1,1
205,396.0,586.8,1,1
208,363.0,544.8,1,1
211,414.0,574.8,1,1
214,381.0,514.8,1,1
217,402.0,513.8,1,1
220,444.0,505.8,1,1
223,381.0,450.8,1,1
226,455.0,481.8,1,1
229,476.0,464.8,1,1
232,513.0,476.8,0,0
235,568.0,435.8,0,0
238,584.0,403.8,0,0
241,562.0,362.8,0,0
244,523.0,337.8,0,0
247,518.0,319.8,0,0
250,489.0,312.8,0,0
253,489.0,304.8,0,0
256,484.0,293.8,0,0
259,463.0,289.8,0,0
262,459.0,306.8,0,0
265,440.0,341.8,0,0
268,434.0,355.8,0,0
271,422.0,387.8,0,0
274,394.0,402.8,0,0
277,365.0,413.8,0,0
280,359.0,468.8,0,0
283,388.0,501.8,0,0
286,408.0,503.8,1,1
289,414.0,491.8,1,1
292,452.0,511.8,1,1
295,432.0,482.8,1,1
298,420.0,444.8,1,1
301,463.0,470.8,1,1
304,447.0,455.8,1,1
307,431.0,431.8,1,1
310,453.0,431.8,1,1
313,438.0,408.8,1,1
316,445.0,379.8,1,1
319,497.0,405.8,1,1
322,451.0,322.8,1,1
325,466.0,324.8,0,1
328,491.0,262.8,0,1
331,517.0,263.8,0,1
334,532.0,273.8,0,1
337,547.0,293.8,0,1
340,554.0,313.8,0,1
343,574.0,415.8,0,1
346,563.0,386.8,0,1
349,562.0,441.8,0,1
352,565.0,414.8,0,1
355,554.0,435.8,0,1
358,530.0,434.8,0,1
361,533.0,457.8,0,1
364,511.0,467.8,0,1
367,471.0,473.8,0,1
370,411.0,477.8,0,1
373,333.0,447.8,1,1
376,401.0,442.8,1,1
379,394.0,424.8,1,1
382,343.0,413.8,1,1
385,356.0,400.8,1,1
388,405.0,405.8,1,1
391,338.0,360.8,1,1
394,377.0,381.8,1,1
397,417.0,386.8,1,1
400,359.0,338.8,1,1
403,402.0,353.8,1,1
406,401.0,341.8,1,1
409,398.0,329.8,1,0
412,500.0,292.8,1,0
415,514.0,242.8,0,0
418,533.0,218.8,0,0
421,525.0,182.8,0,0
424,511.0,187.8,0,0
427,472.0,172.8,0,0
430,446.0,155.8,0,0
433,431.0,156.8,0,0
436,386.0,201.8,0,0
439,330.0,232.8,0,0
442,298.0,232.8,0,0
445,262.0,251.8,0,0
448,230.0,291.8,0,0
451,225.0,302.8,0,0
454,242.0,370.8,0,0
457,259.0,386.8,0,0
460,306.0,405.8,0,0
463,338.0,405.8,0,0
466,351.0,374.8,0,1
469,331.0,334.8,1,1
472,396.0,340.8,1,1
475,357.0,287.8,1,1
478,344.0,225.8,1,1
481,372.0,261.0,1,1
484,383.0,260.0,1,1
487,395.0,296.0,1,1
490,429.0,330.0,1,1
493,390.0,286.0,1,1
496,403.0,287.0,1,1
499,434.0,313.0,1,1
502,385.0,262.0,0,1
505,380.0,241.0,0,1
508,385.0,243.0,0,0
511,409.0,227.0,0,0
514,430.0,224.0,0,0
517,457.0,241.0,0,0
520,466.0,264.0,0,0
523,482.0,290.0,0,0
526,495.0,314.0,0,0
529,489.0,328.0,0,0
532,484.0,375.0,0,0
535,454.0,410.0,0,0
538,405.0,419.0,0,0
541,375.0,443.0,0,0
544,324.0,461.0,0,0
547,298.0,468.0,0,0
550,265.0,449.0,0,0
553,252.0,438.0,0,1
556,286.0,437.0,1,1
559,246.0,397.0,1,1
562,296.0,398.0,1,1
565,334.0,392.0,1,1
568,299.0,370.0,1,1
571,320.0,359.0,1,1
574,349.0,386.0,1,1
