t,x,y,dance_movement,Predictions
2,544.0,112.7,0,-1
5,450.7,206.0,0,-1
8,389.3,299.3,0,-1
11,418.7,384.7,0,1
14,421.3,358.0,1,1
17,482.7,398.0,1,1
20,498.7,320.0,1,1
23,553.7,390.7,1,1
26,525.3,304.0,1,1
29,552.0,256.0,1,1
32,584.0,266.7,1,0
35,626.7,181.3,1,0
38,712.0,106.7,0,0
41,770.7,106.7,0,0
44,792.0,138.7,0,0
47,754.7,168.0,0,0
50,760.0,216.0,0,0
53,765.3,296.0,0,0
56,760.0,341.3,0,0
59,661.3,378.7,0,0
62,640.0,445.3,0,0
65,549.3,457.0,0,0
68,480.0,417.0,0,0
71,462.7,325.0,0,1
74,481.3,286.3,1,1
77,581.3,331.7,1,1
80,540.0,255.7,1,1
83,617.3,321.0,1,1
86,582.7,201.0,1,1
89,676.0,294.3,1,1
92,701.3,267.7,0,0
95,753.3,253.0,0,0
98,794.7,211.7,0,0
101,868.0,138.3,0,0
104,794.7,38.3,0,0
107,785.3,26.3,0,0
110,776.0,22.3,0,0
113,745.3,19.7,0,0
116,680.0,9.0,0,0
119,638.7,21.0,0,0
122,588.0,26.3,0,0
125,552.0,98.3,0,0
128,552.0,154.3,0,0
131,577.3,229.0,1,0
134,601.3,213.0,1,0
137,664.0,183.7,1,0
140,697.3,135.7,1,0
143,724.0,141.0,1,0
146,724.0,126.3,1,0
149,762.7,58.3,0,0
152,816.0,67.7,0,0
155,874.7,89.0,0,0
158,877.3,150.3,0,0
161,828.0,178.3,0,0
164,836.0,207.7,0,0
167,794.7,273.0,0,0
170,776.0,283.7,0,0
173,684.0,294.3,0,0
176,597.3,341.0,0,0
179,600.0,363.7,0,0
182,485.3,353.0,0,0
185,437.3,370.3,0,0
188,400.0,349.0,1,1
191,373.3,331.7,1,1
194,441.3,352.3,1,1
197,424.3,276.3,1,1
200,501.3,286.3,1,1
203,541.3,289.3,1,0
206,538.3,260.3,1,0
209,574.3,172.3,0,0
212,615.3,153.3,0,0
215,647.3,66.7,0,0
218,670.0,61.3,0,0
221,687.3,69.3,0,0
224,659.3,72.0,0,0
227,604.7,92.4,0,0
230,516.6,131.5,0,0
233,487.3,157.6,0,0
236,487.4,198.9,0,0
239,484.0,191.8,0,0
242,505.9,247.1,0,0
245,531.3,325.3,1,0
248,570.0,262.7,1,0
251,612.7,214.7,1,0
254,672.3,184.0,1,0
257,683.0,196.0,1,0
260,749.7,138.7,1,0
263,801.7,128.0,0,0
266,849.7,154.7,0,0
269,871.0,192.0,0,0
272,885.7,232.0,0,0
275,847.0,300.0,0,0
278,803.0,352.0,0,0
281,703.0,378.7,0,0
284,663.0,437.3,0,0
287,587.0,432.0,0,0
290,471.0,396.0,0,0
293,443.0,362.7,0,0
296,440.3,242.7,1,-1
299,504.3,221.3,1,-1
302,523.0,204.0,1,-1
