t,x,y,dance_movement,Predictions
0,844,640,1,-1
2,898,636,1,-1
5,866,574,1,-1
7,890,540,1,1
10,962,594,1,1
12,968,594,1,1
14,956,588,1,1
17,926,552,1,1
19,922,546,1,1
22,962,556,1,1
24,994,538,1,1
26,988,518,1,1
29,956,474,1,1
31,958,480,1,1
34,1012,498,1,1
36,1016,488,1,0
38,996,446,0,0
41,982,374,0,0
43,998,322,0,0
46,994,350,0,0
48,998,354,0,0
50,1018,368,0,0
53,1040,404,0,0
55,1038,420,0,0
58,1054,456,0,0
60,1044,498,0,0
62,1010,520,0,0
65,996,554,0,0
67,968,556,0,0
70,928,576,0,0
72,918,622,0,0
74,910,670,0,0
77,872,728,0,0
79,842,734,0,0
82,808,740,0,0
84,780,734,0,0
86,776,722,0,0
89,744,694,0,0
91,734,688,0,0
94,726,608,1,0
96,742,612,1,0
98,768,626,1,0
101,828,670,1,0
103,824,652,1,0
106,844,676,1,0
108,868,680,1,0
110,880,684,1,0
113,858,612,1,0
115,854,582,1,1
118,896,640,1,1
120,920,650,1,1
122,914,616,1,1
125,942,640,1,1
127,944,610,1,1
130,922,572,1,1
132,956,588,1,1
134,976,604,1,1
137,956,536,1,1
139,1020,616,1,1
142,968,518,1,1
144,978,524,1,1
146,992,500,1,1
149,1058,592,1,1
151,1056,568,1,1
154,1034,512,1,1
156,1102,558,1,0
158,1114,554,0,0
161,1152,520,0,0
163,1152,492,0,0
166,1148,460,0,0
168,1116,438,0,0
170,1110,402,0,0
173,1074,374,0,0
175,1040,366,0,0
178,998,390,0,0
180,970,380,0,0
182,936,378,0,0
185,904,388,0,0
187,866,360,0,0
190,822,330,0,0
192,806,338,0,0
194,778,338,0,0
197,756,348,0,0
199,762,374,0,0
202,760,410,0,0
204,778,430,0,0
206,770,464,0,0
209,752,486,0,0
211,752,502,0,0
214,780,536,0,0
216,794,572,0,0
218,810,566,0,0
221,850,576,1,1
223,876,558,1,1
226,876,472,1,-1
228,882,512,1,-1
230,882,504,1,-1
