t,x,y,dance_movement,Predictions
1,307.0,162.0,1,-1
4,324.0,164.0,1,-1
7,356.0,157.0,1,-1
10,365.0,175.0,0,0
13,377.0,183.0,0,0
16,400.0,215.0,0,0
19,404.0,228.0,0,0
22,409.0,239.0,0,0
25,398.0,248.0,0,0
28,390.0,262.0,0,0
31,359.0,253.0,0,0
34,344.0,246.0,0,0
37,335.0,240.0,0,0
40,292.0,207.0,0,0
43,278.0,184.0,0,0
46,287.0,170.0,0,0
49,294.0,146.0,0,0
52,293.0,132.0,0,1
55,309.0,129.0,1,1
58,297.0,175.0,1,1
61,314.0,170.0,1,1
64,322.0,158.0,1,1
67,308.0,201.0,1,1
70,327.6,166.4,1,1
73,312.0,208.0,1,1
76,330.0,202.0,1,1
79,346.0,222.0,0,0
82,390.0,234.0,0,0
85,403.0,231.0,0,0
88,404.0,224.0,0,0
91,416.0,185.0,0,0
94,428.0,160.0,0,0
97,427.0,143.0,0,0
100,403.0,126.0,0,0
103,380.0,102.0,0,0
106,363.0,95.0,0,0
109,335.0,92.0,0,0
112,306.0,96.0,0,0
115,318.0,101.0,1,1
118,302.0,123.0,1,1
121,286.0,162.0,1,1
124,330.0,130.0,1,1
127,308.0,174.0,1,1
130,327.0,139.0,1,1
133,337.0,156.0,1,1
136,357.0,152.0,1,0
139,365.0,149.0,0,0
142,388.0,159.0,0,0
145,398.0,162.0,0,0
148,392.0,185.0,0,0
151,364.0,213.0,0,0
154,352.0,218.0,0,0
157,326.0,228.0,0,0
160,286.0,233.0,0,0
163,253.0,213.0,0,0
166,244.0,166.0,0,0
169,240.0,151.0,0,0
172,221.0,138.0,0,0
175,218.0,132.0,0,0
178,222.0,119.0,0,0
181,247.0,103.0,1,1
184,237.0,115.0,1,1
187,246.0,132.0,1,1
190,263.0,128.0,1,1
193,262.0,129.0,1,1
196,260.0,187.0,1,1
199,295.0,152.0,1,1
202,297.0,173.0,1,1
205,317.0,186.0,1,1
208,302.0,203.0,0,0
211,312.0,231.0,0,0
214,335.0,241.0,0,0
217,356.0,240.0,0,0
220,365.0,227.0,0,0
223,383.0,208.0,0,0
226,396.0,192.0,0,0
229,413.0,150.0,0,0
232,408.0,134.0,0,0
235,401.0,132.0,0,0
238,382.0,114.0,0,0
241,378.0,102.0,0,0
244,347.0,101.0,0,1
247,325.0,114.0,1,1
250,337.0,119.0,1,1
253,315.0,138.0,1,1
256,340.1,136.1,1,1
259,334.1,145.1,1,1
262,344.1,157.1,1,1
265,357.1,158.1,1,0
268,357.1,187.1,1,0
271,397.1,191.1,1,0
274,408.1,189.1,1,0
277,419.1,190.1,1,0
280,425.1,197.1,0,0
283,438.1,200.1,0,0
286,443.1,203.1,0,0
289,438.1,198.1,0,0
292,431.1,205.1,0,0
295,418.1,238.1,0,0
298,409.1,273.1,0,0
301,397.1,281.1,0,0
304,402.1,271.1,0,0
307,407.1,259.1,0,0
310,403.1,246.1,0,0
313,378.1,211.1,0,0
316,356.1,186.1,0,0
319,334.1,168.1,0,0
322,323.1,173.1,0,0
325,308.1,179.1,0,0
328,297.1,148.1,0,0
331,284.1,133.1,0,0
334,279.1,103.1,0,0
337,278.1,86.1,0,0
340,279.1,97.1,0,1
343,286.1,101.1,1,1
346,296.1,96.1,1,1
349,286.1,111.1,1,1
352,301.1,102.1,1,1
355,297.1,139.1,1,1
358,307.2,124.2,1,1
361,310.2,120.2,1,1
364,297.2,148.2,1,0
367,293.2,158.2,1,0
370,289.2,159.2,0,0
373,279.2,183.2,0,0
376,283.2,190.2,0,0
379,319.2,199.2,0,0
382,345.2,204.2,0,0
385,344.2,198.2,0,0
388,342.2,195.2,0,0
391,334.2,186.2,0,0
394,329.2,180.2,0,0
397,330.2,159.2,0,0
400,338.2,149.2,0,0
403,342.2,128.2,0,0
406,340.2,103.2,0,0
409,322.2,70.2,0,0
412,312.2,64.2,0,0
415,301.2,57.2,0,0
418,288.2,58.2,0,0
421,268.2,63.2,0,1
424,275.2,61.2,0,1
427,274.2,80.2,1,1
430,261.2,90.2,1,1
433,289.2,88.2,1,1
436,263.2,126.2,1,1
439,273.2,126.2,1,1
442,314.2,109.2,1,1
445,276.2,136.2,1,1
448,311.2,124.2,1,1
451,317.2,121.2,1,0
454,328.2,118.2,0,0
457,343.2,118.2,0,0
460,359.2,136.2,0,0
463,378.2,156.2,0,0
466,378.2,158.5,0,0
469,382.2,177.8,0,0
472,375.2,196.8,0,0
475,367.2,201.8,0,0
478,352.2,214.8,0,1
481,346.2,204.8,0,1
484,349.2,204.8,0,1
487,340.2,202.8,0,1
490,335.2,197.8,0,1
493,331.2,196.8,0,0
496,326.2,180.8,0,0
499,296.2,179.8,0,0
502,282.2,174.8,0,0
505,274.2,173.8,0,0
508,287.2,167.8,0,0
511,277.2,139.8,0,0
514,278.2,126.8,0,-1
517,274.2,105.8,0,-1
520,276.2,90.8,0,-1
