t,x,y,dance_movement,Predictions
1,704.9,442.1,1,-1
3,709.0,493.6,1,-1
6,693.7,486.6,1,-1
8,667.9,443.8,1,0
11,648.5,437.7,0,0
13,617.0,440.1,0,0
15,603.9,451.8,0,0
18,600.6,492.8,0,0
20,615.8,501.7,0,0
23,634.8,529.6,0,0
25,645.0,543.5,0,0
27,673.4,545.0,0,0
30,707.2,530.9,0,0
32,728.7,508.1,0,0
35,751.8,481.2,0,0
37,760.7,468.5,0,0
39,750.3,428.3,0,0
42,736.6,403.8,1,0
44,736.1,436.0,1,0
47,726.5,463.4,1,0
49,704.9,433.0,1,0
51,694.7,425.4,1,0
54,668.1,434.3,1,0
56,666.3,461.7,1,0
59,613.3,486.7,0,0
61,591.3,476.7,0,0
63,562.3,465.7,0,0
66,572.3,442.7,0,0
68,583.1,426.7,0,0
71,603.1,406.7,0,0
73,620.1,405.7,0,0
75,641.1,396.7,0,0
78,691.1,399.7,0,0
80,702.1,393.7,0,0
83,730.1,369.7,0,0
85,753.1,372.7,0,0
87,764.1,392.7,0,0
90,784.1,428.7,0,0
92,779.1,457.7,1,0
95,773.1,476.7,1,1
97,748.1,465.7,1,1
99,761.1,504.7,1,1
102,744.1,491.7,1,1
104,730.1,478.7,1,1
107,717.1,518.7,1,1
109,705.1,486.7,1,1
111,695.1,508.7,1,1
114,680.1,516.7,1,1
116,632.1,482.7,0,0
119,592.1,506.7,0,0
121,603.1,521.7,0,0
123,620.1,536.7,0,0
126,628.1,563.7,0,0
128,639.1,572.7,0,0
131,680.1,575.7,0,0
133,689.1,563.7,0,0
135,718.1,557.7,0,0
138,740.1,544.7,0,0
140,747.1,518.7,0,0
143,778.1,471.7,0,0
145,755.1,448.7,1,0
147,736.1,451.7,1,0
150,730.1,441.7,1,0
152,721.3,447.5,1,0
155,709.3,489.5,1,0
157,701.3,471.5,1,0
159,691.3,440.5,1,0
162,662.3,443.5,1,0
164,659.3,488.5,1,0
167,613.3,442.5,0,0
169,594.3,447.5,0,0
171,590.3,466.5,0,0
174,594.3,488.5,0,0
176,615.3,503.5,0,0
179,645.3,512.5,0,0
181,663.3,527.5,0,0
183,694.3,522.5,0,0
186,726.3,518.5,0,0
188,730.3,505.5,0,0
191,776.3,526.5,0,0
193,794.3,520.5,0,0
195,811.3,510.5,0,0
198,852.3,463.5,0,0
200,838.3,441.5,1,0
203,817.3,435.5,1,0
205,804.3,432.5,1,0
207,790.3,455.5,1,0
210,778.3,471.5,1,0
212,767.3,438.5,1,0
215,741.3,471.5,1,0
217,707.3,474.5,0,0
219,688.3,473.5,0,0
222,670.3,453.5,0,0
224,663.3,441.5,0,0
227,694.3,412.5,0,0
229,719.3,404.5,0,0
231,741.3,397.5,0,0
234,779.3,412.5,0,0
236,807.3,429.5,0,0
239,834.3,471.5,0,0
241,829.3,494.5,1,0
243,832.3,530.5,1,0
246,811.3,522.5,1,0
248,805.3,513.5,1,0
251,798.3,516.5,1,0
253,789.3,524.5,1,0
255,780.3,537.5,1,0
258,771.3,520.5,1,0
260,756.3,535.5,1,0
263,747.3,543.5,1,0
265,716.3,515.5,1,0
267,690.3,523.5,0,0
270,658.3,522.5,0,0
272,644.3,566.5,0,0
275,647.3,582.5,0,0
277,665.3,577.5,0,0
279,673.3,598.5,0,0
282,712.3,593.5,0,0
284,736.3,577.5,0,0
287,777.3,578.5,0,0
289,821.3,559.5,0,0
291,853.3,554.5,0,0
294,857.3,524.5,0,0
296,851.3,514.5,0,0
299,847.3,493.5,1,0
301,802.3,499.5,1,1
303,809.3,451.5,1,1
306,794.3,443.5,1,1
308,791.3,469.5,1,1
311,752.3,443.5,0,1
313,742.3,451.5,0,0
315,715.3,451.5,0,0
318,694.3,464.5,0,0
320,706.3,490.5,0,0
323,711.3,541.5,0,0
325,719.3,561.5,0,0
327,735.3,581.5,0,0
330,751.3,588.5,0,0
332,761.3,587.5,0,0
335,794.3,568.5,0,0
337,838.3,556.5,0,0
339,844.3,555.5,0,0
342,858.3,589.5,0,0
344,876.3,571.5,0,0
347,882.3,555.5,0,0
349,878.3,534.5,0,0
351,868.3,510.5,0,0
354,869.3,490.5,0,0
356,840.3,501.5,1,1
359,845.3,489.5,1,1
361,822.3,447.5,1,1
363,812.3,508.5,1,1
366,797.3,500.5,1,1
368,806.3,472.5,1,1
371,752.3,506.5,0,1
373,736.3,501.5,0,0
375,731.3,480.5,0,0
378,743.3,439.5,0,0
380,752.3,416.5,0,0
383,784.3,424.5,0,0
385,801.3,436.5,0,0
387,824.3,442.5,0,0
390,841.3,472.5,0,0
392,873.3,494.5,0,0
395,891.3,525.5,0,0
397,897.3,547.5,0,0
399,886.3,580.5,1,0
402,872.3,598.5,1,0
404,865.3,567.5,1,0
407,851.3,551.5,1,0
409,838.3,557.5,1,0
411,831.3,570.5,1,0
414,812.3,589.5,1,0
416,803.3,555.5,1,0
419,776.3,537.5,0,0
421,765.3,547.5,0,0
423,722.3,533.5,0,0
426,689.3,536.5,0,0
428,684.3,556.5,0,0
431,711.3,591.5,0,0
433,742.3,612.5,0,0
435,755.3,614.5,0,0
438,805.3,601.5,0,0
440,853.3,604.5,0,0
443,885.3,565.5,0,0
445,885.3,538.5,1,1
447,879.3,538.5,1,1
450,868.3,550.5,1,1
452,865.3,489.5,1,1
455,856.3,504.5,1,1
457,848.3,510.5,1,0
459,829.3,539.5,1,0
462,813.3,539.5,1,0
464,808.3,501.5,1,0
467,796.3,495.5,1,0
469,771.3,545.5,0,-1
471,756.3,546.5,0,-1
474,727.3,519.5,0,-1
