t,x,y,dance_movement,Predictions
0,521.1,496.8,0,-1
3,484.9,472.8,0,-1
6,442.0,474.1,0,-1
9,404.0,449.5,0,0
12,389.3,450.8,1,1
15,366.0,416.4,1,1
18,444.4,442.2,1,1
21,405.2,412.7,1,1
24,389.3,404.2,1,1
27,414.2,408.8,1,1
30,411.8,400.5,1,1
33,387.3,377.4,1,1
36,446.6,408.6,1,1
39,404.9,389.0,1,1
42,450.7,395.9,1,1
45,453.2,393.4,1,1
48,450.7,364.0,1,0
51,512.0,392.2,1,0
54,556.1,389.8,0,0
57,589.2,393.4,0,0
60,628.5,356.6,0,0
63,634.6,338.2,0,0
66,643.2,328.4,0,0
69,630.9,302.7,0,0
72,591.7,291.6,0,0
75,556.1,283.0,0,0
78,513.2,284.3,0,0
81,460.5,295.3,0,0
84,449.5,335.8,0,0
87,422.5,368.9,0,0
90,416.4,388.5,0,0
93,390.6,420.4,0,0
96,377.1,480.5,0,0
99,374.7,496.5,0,0
102,382.0,510.0,0,0
105,421.3,551.7,0,1
108,413.9,527.1,1,1
111,472.8,568.8,1,1
114,469.6,571.6,1,1
117,454.9,543.4,1,1
120,513.7,563.0,1,1
123,447.5,523.7,1,1
126,480.6,526.2,1,1
129,502.7,522.5,1,1
132,465.9,485.7,1,1
135,491.6,484.5,1,1
138,502.7,472.2,1,1
141,475.7,429.3,1,1
144,484.3,444.0,1,1
147,492.9,406.0,1,1
150,508.8,363.1,1,0
153,529.7,344.7,0,0
156,559.1,332.4,0,0
159,599.5,338.5,0,0
162,621.6,372.9,0,0
165,622.0,384.8,0,0
168,600.0,416.8,0,0
171,607.0,441.8,0,0
174,581.0,490.8,0,0
177,570.0,503.8,0,0
180,542.0,532.8,0,0
183,533.0,589.8,0,0
186,532.0,604.8,0,0
189,513.0,608.8,0,0
192,404.0,612.8,0,0
195,389.0,602.8,1,1
198,402.0,591.8,1,1
201,347.0,561.8,1,1
204,388.0,588.8,1,1
207,392.0,577.8,1,1
210,359.0,532.8,1,1
213,420.0,560.8,1,1
216,411.0,521.8,1,1
219,395.0,482.8,1,1
222,440.0,500.8,1,1
225,402.0,457.8,1,1
228,482.0,471.8,1,1
231,502.0,468.8,0,0
234,550.0,453.8,0,0
237,579.0,413.8,0,0
240,582.0,387.8,0,0
243,544.0,359.8,0,0
246,522.0,327.8,0,0
249,496.0,317.8,0,0
252,491.0,302.8,0,0
255,482.0,291.8,0,0
258,476.0,289.8,0,0
261,462.0,303.8,0,0
264,461.0,324.8,0,0
267,439.0,348.8,0,0
270,432.0,378.8,0,0
273,408.0,388.8,0,0
276,358.0,417.8,0,0
279,357.0,466.8,0,0
282,373.0,488.8,0,0
285,423.0,515.8,0,0
288,438.0,510.8,1,0
291,421.0,488.8,1,1
294,414.0,474.8,1,1
297,461.0,485.8,1,1
300,432.0,446.8,1,1
303,437.0,456.8,1,1
306,453.0,458.8,1,1
309,438.0,419.8,1,1
312,439.0,416.8,1,1
315,441.0,399.8,1,1
318,447.0,350.8,1,1
321,503.0,429.8,1,1
324,467.0,324.8,1,1
327,492.0,265.8,0,0
330,501.0,264.8,0,0
333,526.0,266.8,0,0
336,545.0,292.8,0,0
339,551.0,302.8,0,0
342,556.0,348.8,0,0
345,566.0,383.8,0,0
348,553.0,407.8,0,0
351,570.0,420.8,0,0
354,561.0,445.8,0,0
357,543.0,432.8,0,0
360,525.0,448.8,0,0
363,521.0,465.8,0,0
366,474.0,479.8,0,0
369,465.0,475.8,0,0
372,394.0,444.8,1,0
375,323.0,427.8,1,0
378,338.0,428.8,1,1
381,402.0,435.8,1,1
384,358.0,406.8,1,1
387,347.0,382.8,1,1
390,413.0,403.8,1,1
393,358.0,362.8,1,1
396,339.0,351.8,1,1
399,426.0,370.8,1,1
402,339.0,313.8,1,1
405,384.0,335.8,1,1
408,412.0,327.8,1,0
411,426.0,319.8,1,0
414,500.0,261.8,0,0
417,527.0,226.8,0,0
420,531.0,194.8,0,0
423,516.0,181.8,0,0
426,463.0,151.8,0,0
429,443.0,156.8,0,0
432,431.0,160.8,0,0
435,407.0,194.8,0,0
438,361.0,208.8,0,0
441,316.0,231.8,0,0
444,281.0,248.8,0,0
447,233.0,282.8,0,0
450,226.0,293.8,0,0
453,233.0,334.8,0,0
456,250.0,381.8,0,0
459,294.0,406.8,0,0
462,325.0,403.8,0,0
