t,x,y,dance_movement,Predictions
0,193.6,103.8,1,-1
2,191.5,108.9,1,-1
5,185.1,103.8,1,-1
8,182.1,95.2,1,1
10,180.6,98.3,1,1
12,180.5,96.1,1,1
15,175.5,96.1,1,1
18,174.5,96.5,1,0
20,172.4,94.0,1,0
22,167.6,92.8,1,0
25,165.3,93.3,1,0
28,160.4,109.3,1,0
30,159.8,95.5,1,1
32,158.4,94.6,1,1
35,153.4,93.2,1,1
38,149.8,109.3,1,1
40,150.8,94.6,1,1
42,150.0,95.6,1,1
45,144.5,96.5,1,1
48,132.7,105.6,1,1
50,132.5,88.4,1,1
52,130.6,90.9,1,1
55,118.7,106.5,1,1
58,121.1,101.7,1,0
60,117.0,100.2,1,0
62,108.9,96.9,1,0
65,94.9,100.5,0,0
68,76.4,97.2,0,0
70,56.5,93.8,0,0
72,50.1,91.2,0,0
75,42.0,79.8,0,0
78,45.9,63.2,0,0
80,46.7,59.2,0,0
82,59.8,47.9,0,0
85,79.4,38.4,0,0
88,99.9,26.0,0,0
90,118.6,17.3,0,0
92,132.8,19.2,0,0
95,145.5,31.9,0,0
98,157.0,41.7,0,0
100,161.6,54.1,0,0
102,165.1,64.5,0,0
105,178.4,79.8,0,0
108,203.7,101.0,0,0
110,198.3,101.5,1,0
112,186.4,100.8,1,0
115,181.0,99.7,1,0
118,175.7,104.5,1,0
120,176.4,101.7,1,1
122,173.5,99.2,1,1
125,167.7,104.6,1,1
128,158.6,98.2,1,1
130,159.9,104.2,1,1
132,155.2,92.1,1,1
135,152.6,103.8,1,1
138,149.6,105.5,1,1
140,150.4,107.2,1,1
142,147.8,96.0,1,1
145,145.7,108.9,1,1
148,141.8,112.8,1,1
150,140.9,106.4,1,1
152,143.1,104.6,1,1
155,139.6,105.9,1,1
158,133.2,109.8,1,1
160,130.6,102.5,1,1
162,127.5,100.3,1,1
165,121.5,107.6,1,1
168,117.6,104.6,1,1
170,107.3,121.9,1,1
172,110.3,95.1,1,1
175,100.8,120.2,1,1
178,101.6,98.6,1,1
180,102.1,105.5,1,1
182,102.5,101.6,1,1
185,99.1,107.6,1,1
188,98.6,106.8,1,1
190,88.7,120.6,1,1
192,91.3,96.9,1,1
195,74.9,113.3,1,1
198,78.8,107.6,1,1
200,82.7,93.4,1,0
202,80.9,90.4,1,0
205,76.6,75.3,0,0
208,66.3,58.5,0,0
210,65.0,53.7,0,0
212,57.2,55.4,0,0
215,44.2,64.9,0,0
218,39.1,82.6,0,0
220,36.0,96.0,0,0
222,35.2,114.1,0,0
225,45.5,130.5,0,0
228,64.5,141.3,0,0
230,71.0,146.5,0,0
232,85.7,149.1,0,0
235,107.7,174.5,0,0
238,133.2,172.9,0,0
240,134.5,169.3,0,0
242,155.2,162.0,0,0
245,180.6,153.0,0,0
248,185.4,144.3,0,0
250,180.2,134.0,0,0
252,179.3,119.7,0,0
255,165.5,107.6,1,0
258,158.6,119.3,1,0
260,154.3,119.7,1,-1
262,147.0,122.3,1,-1
265,147.8,109.4,1,-1
