t,x,y,dance_movement,Predictions
1,192.1,95.6,1,-1
3,189.2,98.2,1,-1
6,183.7,94.7,1,-1
9,180.3,110.7,1,1
11,180.6,100.8,1,1
13,179.1,102.1,1,1
16,174.6,108.6,1,1
19,174.5,97.4,1,1
21,168.4,103.2,1,1
23,165.5,102.8,1,1
26,162.4,111.0,1,1
29,160.5,108.0,1,1
31,157.8,109.2,1,1
33,153.8,115.3,1,1
36,149.7,112.7,1,1
39,151.0,96.4,1,1
41,151.1,103.7,1,1
43,146.4,111.6,1,1
46,141.4,107.8,1,1
49,134.5,96.7,1,1
51,126.1,102.3,1,1
53,126.9,106.0,1,1
56,116.9,113.6,1,1
59,121.4,91.9,1,1
61,111.0,102.0,1,1
63,104.4,101.2,1,0
66,90.6,102.3,0,0
69,77.2,94.1,0,0
71,53.9,92.7,0,0
73,44.3,88.3,0,0
76,43.8,74.6,0,0
79,47.6,60.4,0,0
81,49.5,55.0,0,0
83,69.1,42.5,0,0
86,87.9,31.8,0,0
89,109.7,24.2,0,0
91,126.1,16.7,0,0
93,135.9,26.1,0,0
96,156.1,34.7,0,0
99,159.2,47.9,0,0
101,162.5,59.6,0,0
103,168.5,64.9,0,0
106,183.4,85.3,0,0
109,201.0,102.7,1,0
111,190.4,98.5,1,1
113,186.5,100.6,1,1
116,180.5,107.4,1,1
119,177.7,97.5,1,1
121,175.6,98.3,1,1
123,169.4,107.3,1,1
126,160.8,95.1,1,1
129,156.9,90.4,1,1
131,155.6,92.5,1,1
133,154.7,102.9,1,1
136,147.8,92.3,1,1
139,147.0,86.5,1,1
141,151.7,106.1,1,1
143,147.4,107.6,1,1
146,145.7,105.9,1,1
149,140.1,97.7,1,1
151,138.8,123.6,1,1
153,140.9,117.1,1,1
156,138.3,110.7,1,1
159,130.6,111.5,1,1
161,124.1,115.0,1,1
163,122.8,112.8,1,1
166,122.4,99.5,1,1
169,115.9,98.6,1,1
171,110.7,88.7,1,1
173,107.0,110.2,1,1
176,105.1,93.8,1,1
179,101.6,97.3,1,1
181,102.9,93.0,1,1
183,102.5,96.4,1,1
186,100.8,104.2,1,1
189,96.9,103.3,1,1
191,81.4,122.8,1,1
193,84.4,110.2,1,1
196,87.0,95.1,1,1
199,82.2,101.2,1,1
201,83.1,89.1,1,1
203,75.3,87.4,0,1
206,74.9,71.0,0,0
209,68.4,55.0,0,0
211,58.5,52.9,0,0
213,49.9,59.3,0,0
216,42.9,71.8,0,0
219,37.3,87.8,0,0
221,35.6,103.8,0,0
223,35.6,118.9,0,0
226,52.4,134.4,0,0
229,67.6,142.6,0,0
231,77.9,146.9,0,0
233,101.2,164.6,0,0
236,112.9,175.4,0,0
239,129.7,170.6,0,0
241,146.1,166.3,0,0
243,160.8,161.2,0,0
246,183.2,151.7,0,0
249,179.3,138.7,0,0
251,180.2,130.1,0,0
253,165.1,124.5,1,0
256,156.0,115.4,1,0
259,160.4,94.3,1,-1
261,153.9,100.7,1,-1
263,148.3,105.9,1,-1
