t,x,y,dance_movement,Predictions
0,703.8,486.8,1,-1
2,717.1,452.9,1,-1
5,701.7,450.8,1,-1
7,677.7,454.8,1,0
10,659.4,442.6,0,0
12,644.9,434.1,0,0
14,609.3,447.3,0,0
17,593.0,476.4,0,0
19,606.9,499.2,0,0
22,631.0,513.1,0,0
24,634.8,539.7,0,0
26,653.9,547.3,0,0
29,685.6,528.3,0,0
31,717.3,519.5,0,0
34,752.8,480.2,0,0
36,755.6,472.3,0,0
38,751.0,452.5,0,0
41,744.2,443.1,1,0
43,741.7,443.1,1,0
46,730.3,435.5,1,0
48,701.1,408.9,1,1
50,712.5,453.3,1,1
53,682.1,474.8,1,1
55,670.1,431.3,1,1
58,655.3,446.7,1,1
60,606.3,476.7,0,0
62,573.3,469.7,0,0
65,567.3,443.7,0,0
67,582.3,426.7,0,0
70,599.1,417.7,0,0
72,614.1,401.7,0,0
74,623.1,411.7,0,0
77,677.1,415.7,0,0
79,694.1,396.7,0,0
82,723.1,369.7,0,0
84,743.1,367.7,0,0
86,754.1,378.7,0,0
89,773.1,419.7,0,0
91,777.1,447.7,0,0
94,761.1,461.7,1,0
96,778.1,494.7,1,1
98,753.1,487.7,1,1
101,742.1,469.7,1,1
103,738.1,519.7,1,1
106,720.1,509.7,1,1
108,707.1,481.7,1,1
110,697.1,511.7,1,1
113,679.1,487.7,1,1
115,640.1,480.7,0,0
118,596.1,496.7,0,0
120,592.1,517.7,0,0
122,605.1,536.7,0,0
125,629.1,559.7,0,0
127,633.1,569.7,0,0
130,673.1,580.7,0,0
132,690.1,575.7,0,0
134,705.1,557.7,0,0
137,737.1,558.7,0,0
139,743.1,526.7,0,0
142,766.1,494.7,0,0
144,771.1,444.7,1,1
146,738.1,464.7,1,1
149,732.1,492.7,1,1
151,727.3,480.5,1,1
154,711.3,484.5,1,1
156,698.8,445.3,1,1
158,695.3,493.5,1,1
161,676.3,489.5,1,1
163,662.3,468.5,1,0
166,643.3,449.5,0,0
168,604.3,442.5,0,0
170,589.3,460.5,0,0
173,595.3,476.5,0,0
175,605.3,501.5,0,0
178,630.3,519.5,0,0
180,657.3,516.5,0,0
182,679.3,511.5,0,0
185,713.3,516.5,0,0
187,733.3,512.5,0,0
190,767.3,526.5,0,0
192,777.3,518.5,0,0
194,802.3,519.5,0,0
197,842.3,475.5,0,0
199,839.3,443.5,0,0
202,823.3,427.5,1,0
204,816.3,478.5,1,0
206,794.3,435.5,1,0
209,775.3,419.5,1,0
211,771.3,434.5,1,0
214,747.3,449.5,1,0
216,734.3,464.5,1,0
218,711.3,459.5,0,0
221,672.3,460.5,0,0
223,653.3,452.5,0,0
226,676.3,418.5,0,0
228,702.3,407.5,0,0
230,729.3,396.5,0,0
233,758.3,404.5,0,0
235,782.3,421.5,0,0
238,816.3,451.5,0,0
240,834.3,478.5,1,0
242,813.3,490.5,1,1
245,806.3,516.5,1,1
247,807.3,497.5,1,1
250,796.3,505.5,1,1
252,788.3,555.5,1,1
254,786.3,504.5,1,1
257,781.3,525.5,1,1
259,769.3,536.5,1,1
262,748.3,558.5,1,0
264,734.3,524.5,1,0
266,701.3,511.5,0,0
269,663.3,516.5,0,0
271,645.3,522.5,0,0
274,642.3,552.5,0,0
276,664.3,576.5,0,0
278,670.3,593.5,0,0
281,703.3,590.5,0,0
283,727.3,586.5,0,0
286,766.3,580.5,0,0
288,794.3,563.5,0,0
290,812.3,548.5,0,0
293,860.3,529.5,0,0
295,853.3,523.5,0,0
298,843.3,499.5,0,0
300,840.3,472.5,1,0
302,809.3,462.5,1,0
305,796.3,467.5,1,0
307,792.3,482.5,1,0
310,774.3,492.5,1,0
312,747.3,454.5,0,0
314,716.3,445.5,0,0
317,691.3,456.5,0,0
319,700.3,477.5,0,0
322,704.3,522.5,0,0
324,719.3,547.5,0,0
326,733.3,572.5,0,0
329,741.3,598.5,0,0
331,759.3,585.5,0,0
334,791.3,579.5,0,0
336,811.3,560.5,0,0
338,836.3,567.5,0,0
341,846.3,580.5,0,0
343,870.3,576.5,0,0
346,875.3,567.5,0,0
348,887.3,543.5,0,0
350,873.3,523.5,0,0
353,863.3,491.5,0,0
355,866.3,481.5,1,0
358,836.3,452.5,1,0
360,834.3,479.5,1,0
362,823.3,479.5,1,0
365,810.3,460.5,1,0
367,799.3,479.5,1,0
370,792.3,487.5,0,0
372,759.3,515.5,0,0
374,733.3,495.5,0,0
377,736.3,450.5,0,0
379,758.3,434.5,0,0
382,776.3,418.5,0,0
384,796.3,430.5,0,0
386,816.3,439.5,0,0
389,844.3,452.5,0,0
391,854.3,482.5,0,0
394,887.3,512.5,0,0
396,897.3,531.5,0,0
398,889.3,558.5,0,0
401,883.3,571.5,1,1
403,871.3,558.5,1,1
406,859.3,580.5,1,1
408,845.3,555.5,1,1
410,834.3,555.5,1,1
413,820.3,572.5,1,1
415,810.3,543.5,1,1
418,797.3,584.5,1,1
420,773.3,535.5,0,1
422,725.3,528.5,0,0
425,695.3,533.5,0,0
427,685.3,551.5,0,0
430,695.3,577.5,0,0
432,721.3,605.5,0,0
434,740.3,609.5,0,0
437,796.3,602.5,0,0
439,824.3,601.5,0,0
442,886.3,566.5,0,0
444,892.3,541.5,0,0
446,893.3,515.5,1,0
449,880.3,490.5,1,0
451,863.3,497.5,1,0
454,858.3,505.5,1,0
456,851.3,519.5,1,0
458,845.3,505.5,1,0
461,831.3,503.5,1,0
463,809.3,500.5,1,0
466,806.3,530.5,1,0
468,794.3,535.5,0,1
470,786.3,523.5,0,-1
473,737.3,537.5,0,-1
475,734.3,506.5,0,-1
