t,x,y,dance_movement,Predictions
1,1618.3,909.0,0,-1
3,1637.3,907.0,0,-1
6,1665.3,930.0,0,-1
9,1659.3,933.0,0,1
11,1661.3,938.5,0,1
13,1661.3,939.0,0,1
16,1651.3,936.5,0,1
19,1646.8,939.0,0,1
21,1652.8,939.5,0,1
23,1665.3,943.0,0,1
26,1649.3,942.0,0,0
29,1646.8,942.0,0,0
31,1643.3,964.5,0,0
33,1623.3,964.0,0,0
36,1615.3,967.0,0,0
39,1609.8,970.0,0,0
41,1606.8,972.5,0,0
43,1606.8,973.5,0,0
46,1592.8,966.5,0,0
49,1570.3,975.5,0,0
51,1528.3,977.0,1,0
53,1501.8,961.5,1,0
56,1532.8,963.0,1,1
59,1552.8,944.0,1,1
61,1558.8,950.0,1,1
63,1562.8,948.0,1,1
66,1525.8,939.0,1,1
69,1576.8,947.0,1,1
71,1579.8,943.0,1,1
73,1574.8,942.0,1,1
76,1522.8,936.0,1,1
79,1560.8,925.0,1,1
81,1550.8,928.0,1,1
83,1562.8,930.0,1,1
86,1568.8,921.0,1,1
89,1532.8,912.0,1,1
91,1533.8,912.0,1,1
93,1529.8,908.0,1,1
96,1578.8,900.0,1,1
99,1527.8,879.0,1,1
101,1543.8,866.0,1,1
103,1533.8,853.0,1,0
106,1568.8,824.0,1,0
109,1584.8,815.0,0,0
111,1586.8,811.0,0,0
113,1595.8,798.0,0,0
116,1612.8,790.0,0,0
119,1612.8,778.0,0,0
121,1600.8,773.0,0,0
123,1591.8,793.0,0,0
126,1578.8,808.0,0,0
129,1567.8,808.0,0,0
131,1571.8,818.0,0,0
133,1561.8,831.0,0,1
136,1560.8,860.0,0,1
139,1569.8,863.0,0,1
141,1552.8,881.0,0,1
143,1560.8,885.0,0,1
146,1564.8,894.0,0,0
149,1577.8,894.0,0,0
151,1583.8,905.0,0,0
153,1607.8,923.0,0,0
156,1621.8,927.0,0,0
159,1645.8,939.0,0,0
161,1674.8,939.0,0,1
163,1683.8,939.0,1,1
166,1675.8,940.0,1,1
169,1689.8,933.0,1,1
171,1679.8,936.0,1,1
173,1664.8,938.0,1,1
176,1693.8,933.0,1,1
179,1651.8,909.0,1,1
181,1661.8,906.0,1,1
183,1657.8,914.0,1,1
186,1689.8,899.0,1,1
189,1669.8,900.0,1,1
191,1656.8,894.0,1,1
193,1669.8,885.0,1,1
196,1676.8,879.0,1,1
199,1685.8,872.0,1,1
201,1677.8,864.0,1,1
203,1681.8,857.0,1,1
206,1657.8,852.0,1,1
209,1676.8,851.0,1,1
211,1676.8,853.0,1,1
213,1673.8,843.0,1,1
216,1660.8,839.0,1,1
219,1660.8,826.0,1,1
221,1665.8,825.0,1,1
223,1671.8,830.0,1,0
226,1652.8,812.0,0,0
229,1643.8,805.0,0,0
231,1637.8,780.0,0,0
233,1643.8,761.0,0,0
236,1646.8,741.0,0,0
239,1649.8,742.0,0,0
241,1657.8,748.0,0,0
243,1672.8,744.0,0,0
246,1690.8,761.0,0,0
249,1685.8,772.0,0,0
251,1683.8,783.0,0,0
253,1690.8,782.0,0,0
256,1697.8,797.0,0,0
259,1705.8,817.0,0,0
261,1702.8,821.0,0,-1
263,1707.8,848.0,0,-1
266,1701.8,858.0,0,-1
