t,x,y,dance_movement,Predictions
2,314.0,161.0,1,-1
5,336.0,150.0,1,-1
8,350.0,167.0,0,-1
11,370.0,180.0,0,0
14,389.0,210.0,0,0
17,401.0,222.0,0,0
20,404.0,230.0,0,0
23,409.0,242.0,0,0
26,398.0,253.0,0,0
29,380.0,263.0,0,0
32,350.0,249.0,0,0
35,344.0,247.0,0,0
38,330.0,236.0,0,0
41,288.0,204.0,0,0
44,278.0,180.0,0,0
47,285.0,163.0,0,0
50,301.0,137.0,0,0
53,303.0,116.0,1,1
56,297.0,156.0,1,1
59,308.0,158.0,1,1
62,315.0,182.0,1,1
65,312.0,178.0,1,1
68,319.0,171.0,1,1
71,309.0,193.0,1,1
74,320.0,190.0,1,1
77,341.0,215.0,1,0
80,363.0,229.0,0,0
83,393.0,235.0,0,0
86,408.0,225.0,0,0
89,410.0,218.0,0,0
92,424.0,179.0,0,0
95,427.0,152.0,0,0
98,421.0,135.0,0,0
101,401.0,120.0,0,0
104,373.0,98.0,0,0
107,359.0,97.0,0,0
110,330.0,91.0,0,0
113,301.0,101.0,0,0
116,293.0,127.0,1,1
119,301.0,135.0,1,1
122,333.0,124.0,1,1
125,298.0,156.0,1,1
128,332.0,141.0,1,1
131,315.0,186.0,1,1
134,342.0,159.0,1,1
137,349.0,158.0,0,0
140,374.0,146.0,0,0
143,391.5,159.5,0,0
146,398.1,162.1,0,0
149,384.0,190.0,0,0
152,364.1,213.1,0,0
155,333.0,223.0,0,0
158,312.0,230.0,0,0
161,279.0,235.0,0,0
164,244.0,195.0,0,0
167,244.0,162.0,0,0
170,230.0,152.0,0,0
173,219.0,126.0,0,1
176,224.0,124.0,0,1
179,221.0,120.0,0,1
182,236.0,115.0,1,1
185,239.0,133.0,1,1
188,261.0,118.0,1,1
191,260.0,129.0,1,1
194,259.0,148.0,1,1
197,281.0,142.0,1,1
200,283.0,170.0,1,1
203,325.0,157.0,1,1
206,310.0,189.0,0,0
209,303.0,215.0,0,0
212,310.0,234.0,0,0
215,334.0,239.0,0,0
218,364.0,232.0,0,0
221,367.0,224.0,0,0
224,390.0,201.0,0,0
227,404.0,183.0,0,0
230,408.0,133.0,0,0
233,409.0,130.0,0,0
236,399.0,126.0,0,0
239,383.0,111.0,0,0
242,371.0,99.0,0,0
245,349.0,102.0,0,0
248,323.0,117.0,1,0
251,323.0,125.0,1,0
254,315.1,138.1,1,0
257,329.1,141.1,1,0
260,335.1,146.1,1,0
263,353.1,151.1,1,0
266,343.1,180.1,1,1
269,390.1,176.1,1,1
272,404.1,189.1,1,1
275,384.1,187.1,1,1
278,424.1,195.1,1,1
281,426.1,198.1,0,1
284,441.1,200.1,0,0
287,442.1,199.1,0,0
290,437.1,199.1,0,0
293,428.1,214.1,0,0
296,417.1,252.1,0,0
299,402.1,277.1,0,0
302,393.1,281.1,0,0
305,402.1,267.1,0,0
308,405.1,255.1,0,0
311,396.1,242.1,0,0
314,367.1,199.1,0,0
317,346.1,179.1,0,0
320,322.1,168.1,0,0
323,319.1,175.1,0,0
326,303.1,177.1,0,0
329,295.1,148.1,0,0
332,279.1,115.1,0,0
335,279.1,98.1,0,0
338,276.1,95.1,0,0
341,279.1,101.1,0,1
344,284.1,107.1,1,1
347,292.1,95.1,1,1
350,306.1,96.1,1,1
353,300.1,109.1,1,1
356,304.1,129.1,1,1
359,309.2,121.2,1,1
362,296.2,138.2,1,1
365,313.2,132.2,1,1
368,296.2,153.2,0,1
371,286.2,168.2,0,0
374,278.2,180.2,0,0
377,284.2,192.2,0,0
380,330.2,203.2,0,0
383,343.2,201.2,0,0
386,344.2,197.2,0,0
389,342.2,190.2,0,0
392,336.2,185.2,0,0
395,326.2,165.2,0,0
398,330.2,157.2,0,0
401,335.2,152.2,0,0
404,343.2,115.2,0,0
407,339.2,100.2,0,0
410,317.2,64.2,0,0
413,315.2,63.2,0,0
416,297.2,56.2,0,0
419,278.2,58.2,0,0
422,266.2,64.2,0,1
425,283.2,63.2,0,1
428,252.2,101.2,1,1
431,277.2,82.2,1,1
434,262.2,116.2,1,1
437,294.2,110.2,1,1
440,303.2,104.2,1,1
443,292.2,123.2,1,1
446,303.2,118.2,1,1
449,317.2,119.2,1,1
452,307.2,134.2,1,1
455,324.2,124.2,0,1
458,349.2,119.2,0,0
461,365.2,151.2,0,0
464,378.2,157.2,0,0
467,378.2,158.8,0,0
470,382.2,188.8,0,0
473,372.2,195.8,0,0
476,365.2,202.8,0,0
479,350.2,211.8,0,1
482,346.2,202.8,0,1
485,347.2,203.8,0,1
488,340.2,200.8,0,1
491,330.2,195.8,0,1
494,335.2,195.8,0,1
497,319.2,178.8,0,1
500,302.2,179.8,0,1
503,275.2,171.8,0,0
506,274.2,171.8,0,0
509,292.2,164.8,0,0
512,277.2,137.8,0,1
515,280.2,121.8,0,-1
518,271.2,105.8,0,-1
521,277.2,90.8,0,-1
