t,x,y,dance_movement,Predictions
0,686.0,836.0,0,-1
2,687.6,837.9,0,-1
5,688.1,840.9,1,-1
8,658.2,855.4,1,1
10,662.8,852.5,1,1
12,666.0,856.0,1,1
15,710.0,860.0,1,1
18,706.0,859.0,1,1
20,706.0,874.0,1,1
22,719.0,874.0,1,1
25,714.0,887.0,1,0
28,681.0,887.0,0,0
30,668.0,887.0,0,0
32,656.0,911.0,0,0
35,689.0,932.0,0,0
38,696.0,915.0,0,0
40,705.0,907.0,0,0
42,712.0,885.0,0,0
45,718.0,853.0,0,0
48,731.0,818.0,0,0
50,734.0,806.0,0,0
52,730.0,793.0,0,0
55,736.0,778.0,0,0
58,738.0,761.0,0,0
60,737.0,733.0,0,0
62,716.0,730.0,0,0
65,690.0,731.0,0,0
68,665.0,731.0,0,0
70,649.0,759.0,0,1
72,669.0,746.0,0,1
75,692.0,758.0,1,1
78,636.0,795.0,1,1
80,669.0,807.0,1,1
82,666.0,826.0,1,1
85,695.0,801.0,1,1
88,647.0,823.0,1,1
90,664.0,830.0,1,1
92,665.0,834.0,1,1
95,707.0,829.0,1,1
98,663.0,836.0,1,1
100,680.0,834.0,1,1
102,669.0,840.0,1,1
105,709.5,841.0,1,1
108,700.0,839.5,1,1
110,720.0,844.5,1,1
112,717.0,838.5,1,1
115,682.0,854.5,1,1
118,672.0,861.5,1,1
120,680.0,857.5,1,1
122,672.0,857.5,1,1
125,687.0,860.5,1,1
128,702.0,858.5,1,1
130,704.0,866.5,1,1
132,701.0,860.5,1,1
135,709.0,863.5,1,1
138,671.0,871.5,1,1
140,696.0,874.5,1,1
142,717.0,879.5,1,1
145,683.0,882.5,1,1
148,698.0,874.5,1,1
150,676.0,884.5,1,1
152,686.0,881.5,1,1
155,679.0,885.5,1,1
158,725.0,888.5,1,1
160,726.0,894.5,1,1
162,725.0,893.5,1,1
165,730.0,898.5,1,1
168,702.0,912.5,1,1
170,687.0,905.5,1,1
172,688.0,906.5,1,1
175,718.0,902.5,1,1
178,738.0,912.5,1,1
180,728.0,917.5,1,1
182,729.0,907.5,1,1
185,698.0,915.5,1,1
188,727.0,908.5,1,1
190,733.0,915.5,0,1
192,739.0,916.5,0,0
195,736.0,928.5,0,0
198,725.0,952.5,0,0
200,706.0,951.5,0,0
202,692.0,954.5,0,0
205,672.0,938.5,0,0
208,649.0,928.5,0,0
210,644.0,925.5,0,0
212,641.0,907.5,0,0
215,644.0,883.5,0,0
218,651.0,861.5,0,0
220,654.0,849.5,0,0
222,652.0,834.5,0,0
225,654.0,807.5,0,0
228,685.0,786.5,0,0
230,672.0,760.5,0,0
232,670.0,728.5,0,0
235,686.0,707.5,0,0
238,729.0,694.5,0,0
240,742.0,698.5,0,0
242,753.0,696.5,0,0
245,758.0,703.5,1,0
248,731.0,719.5,1,0
250,733.0,730.5,1,0
252,739.0,741.5,1,0
255,752.0,730.5,1,0
258,763.0,739.5,1,0
260,777.0,754.5,1,1
262,777.0,768.5,1,-1
265,739.0,755.5,1,-1
268,764.0,760.5,1,-1
