t,x,y,dance_movement,Predictions
1,686.8,837.0,0,-1
3,688.3,838.9,0,-1
6,673.8,843.4,1,-1
9,705.2,851.5,1,1
11,705.7,852.3,1,1
13,709.0,862.0,1,0
16,690.0,858.0,1,0
19,681.0,867.0,1,1
21,674.0,877.0,1,1
23,682.0,874.0,1,1
26,676.0,893.0,1,1
29,678.0,882.0,0,1
31,653.0,905.0,0,1
33,664.0,911.0,0,0
36,692.0,923.0,0,0
39,702.0,913.0,0,0
41,711.0,897.0,0,0
43,707.0,875.0,0,0
46,726.0,838.0,0,0
49,713.0,814.0,0,0
51,724.0,808.0,0,0
53,736.0,789.0,0,0
56,731.0,779.0,0,0
59,737.0,754.0,0,0
61,726.0,732.0,0,0
63,709.0,730.0,0,0
66,675.0,730.0,0,0
69,655.0,748.0,0,0
71,668.0,752.0,0,1
73,678.0,759.0,1,1
76,649.0,774.0,1,1
79,685.0,774.0,1,1
81,684.0,786.0,1,1
83,692.0,804.0,1,1
86,655.0,817.0,1,1
89,698.0,814.0,1,1
91,717.0,820.0,1,1
93,710.0,823.0,1,1
96,680.0,829.0,1,1
99,727.0,828.0,1,1
101,714.0,838.0,1,1
103,710.0,837.0,1,1
106,677.0,834.5,1,1
109,675.0,843.5,1,1
111,672.0,842.5,1,1
113,664.0,846.5,1,1
116,693.0,852.5,1,1
119,715.0,853.5,1,1
121,710.0,858.5,1,1
123,702.0,857.5,1,1
126,703.0,859.5,1,1
129,674.0,862.5,1,1
131,678.0,872.5,1,1
133,694.0,864.5,1,1
136,661.0,872.5,1,1
139,717.0,869.5,1,1
141,694.0,874.5,1,1
143,688.0,875.5,1,1
146,712.0,873.5,1,1
149,727.0,882.5,1,1
151,702.0,879.5,1,1
153,686.0,882.5,1,1
156,721.0,886.5,1,1
159,690.0,902.5,1,1
161,695.0,896.5,1,1
163,694.0,888.5,1,1
166,707.0,897.5,1,1
169,733.0,906.5,1,1
171,728.0,906.5,1,1
173,729.0,899.5,1,1
176,725.0,905.5,1,1
179,690.0,917.5,1,1
181,687.0,902.5,1,1
183,703.0,921.5,1,1
186,723.0,909.5,1,0
189,731.0,905.5,0,0
191,735.0,913.5,0,0
193,735.0,918.5,0,0
196,735.0,941.5,0,0
199,719.0,949.5,0,0
201,696.0,957.5,0,0
203,687.0,954.5,0,0
206,667.0,929.5,0,0
209,643.0,928.5,0,0
211,645.0,918.5,0,0
213,656.0,902.5,0,0
216,654.0,875.5,0,0
219,636.0,847.5,0,0
221,641.0,838.5,0,0
223,643.0,824.5,0,0
226,688.0,801.5,0,0
229,676.0,784.5,0,0
231,672.0,743.5,0,0
233,668.0,731.5,0,0
236,692.0,705.5,0,1
239,746.0,696.5,0,1
241,735.0,698.5,0,1
243,748.0,693.5,0,1
246,733.0,705.5,1,1
249,779.0,726.5,1,1
251,771.0,749.5,1,1
253,779.0,742.5,1,1
256,748.0,731.5,1,1
259,748.0,747.5,1,1
261,737.0,755.5,1,-1
263,733.0,748.5,1,-1
266,772.0,765.5,1,-1
